date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing_0,std
2010-07-13,2010-07-14,238.95,239.8000092,236.2205272,-0.850009155,"tf.Tensor(1.0, shape=(), dtype=float32)",2.757716447
2010-07-14,2010-07-15,239.15,239.1000031,238.4543282,0.049996948,"tf.Tensor(-1.0, shape=(), dtype=float32)",0.494974747
2010-07-15,2010-07-16,238.7,236.4999939,237.8760571,2.200006104,"tf.Tensor(-1.0, shape=(), dtype=float32)",1.838477631
2010-07-16,2010-07-19,234.05,235.0500031,234.8045141,1.000003052,"tf.Tensor(-1.0, shape=(), dtype=float32)",1.025304833
2010-07-19,2010-07-20,234.45,235.9499939,236.1270017,1.499993896,"tf.Tensor(1.0, shape=(), dtype=float32)",0.636396103
2010-07-20,2010-07-21,238.4,237.7500031,236.7097126,0.649996948,"tf.Tensor(1.0, shape=(), dtype=float32)",1.272792206
2010-07-21,2010-07-22,237.25,235.6000061,236.1910939,1.649993896,"tf.Tensor(-1.0, shape=(), dtype=float32)",1.52027958
2010-07-22,2010-07-23,238.85,239.5499969,235.7195681,-0.699996948,"tf.Tensor(1.0, shape=(), dtype=float32)",2.793071786
2010-07-23,2010-07-26,239.55,240.7499969,238.9602033,-1.199996948,"tf.Tensor(-1.0, shape=(), dtype=float32)",0.848528137
2010-07-26,2010-07-27,241.45,241.0500031,240.4183851,0.399996948,"tf.Tensor(-1.0, shape=(), dtype=float32)",0.212132034
2010-07-27,2010-07-28,242.15,242.2499969,241.6558332,-0.099996948,"tf.Tensor(1.0, shape=(), dtype=float32)",0.848528137
2010-07-28,2010-07-29,241.25,241.8000031,242.1230762,0.550003052,"tf.Tensor(-1.0, shape=(), dtype=float32)",0.318198052
2010-07-29,2010-07-30,241.2,239.6499908,240.4774559,1.550009155,"tf.Tensor(-1.0, shape=(), dtype=float32)",1.52027958
2010-07-30,2010-08-02,241.05,242.7000031,239.839981,-1.650003052,"tf.Tensor(1.0, shape=(), dtype=float32)",2.156675683
2010-08-02,2010-08-03,243.85,243.6000092,242.838402,0.249990845,"tf.Tensor(1.0, shape=(), dtype=float32)",0.636396103
2010-08-03,2010-08-04,243.9,242.9499908,242.8808007,0.950009155,"tf.Tensor(-1.0, shape=(), dtype=float32)",0.459619408
2010-08-04,2010-08-05,244.4,243.1000092,243.5855569,1.299990845,"tf.Tensor(1.0, shape=(), dtype=float32)",0.106066017
