date_base,date_pred,iiindex_base,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing_0,std
2019-09-30,2019-10-01,274.15,273.75,273.39273496866224,0.39999999999997726,-0.757265031337738,0.7424621202458829
2019-10-01,2019-10-02,275.2,272.75,273.6062657356262,2.4499999999999886,-1.5937342643737793,4.631549416771894
2019-10-02,2019-10-04,268.65,267.95,269.7386317491531,-0.6999999999999886,1.0886317491531372,0.8485281374238489
2019-10-04,2019-10-07,267.45,269.4,268.0249531984329,1.9499999999999886,0.5749531984329224,0.8838834764831844
2019-10-07,2019-10-08,268.7,268.85,269.0253751993179,0.1500000000000341,0.32537519931793213,2.5102290732122516
2019-10-08,2019-10-09,272.25,268.85,272.1761969551444,3.3999999999999773,-0.07380304485559464,0.0
2019-10-09,2019-10-10,272.25,268.2,272.6206502020359,0.0,0.37065020203590393,1.3435028842544243
2019-10-10,2019-10-11,270.35,272.5,271.7048483848572,2.1499999999999773,1.3548483848571777,1.3788582233137596
2019-10-11,2019-10-14,272.3,275.3,271.54301397800447,-3.0,-0.7569860219955444,1.7677669529663689
2019-10-14,2019-10-15,274.8,274.6,274.5821668535471,0.19999999999998863,-0.21783314645290375,0.38890872965260914
2019-10-15,2019-10-16,275.35,276.7,274.84927890300753,-1.349999999999966,-0.5007210969924927,1.1313708498984518
2019-10-16,2019-10-17,276.95,277.35,276.069802236557,-0.4000000000000341,-0.8801977634429932,0.8131727983645135
2019-10-17,2019-10-18,275.8,276.45,275.3195932686329,-0.6499999999999773,-0.4804067313671112,1.697056274847738
2019-10-18,2019-10-21,273.4,273.9,273.02953123450277,-0.5,-0.37046876549720764,0.8131727983645538
2019-10-21,2019-10-22,274.55,276.0,273.6052678704262,-1.4499999999999886,-0.944732129573822,2.5809397513308823
2019-10-22,2019-10-23,278.2,277.5,277.54635323286055,0.6999999999999886,-0.6536467671394348,1.0960155108391567
2019-10-23,2019-10-24,276.65,277.8,276.8189530611038,1.150000000000034,0.1689530611038208,0.6717514421272524
2019-10-24,2019-10-25,277.6,277.9,277.5575168155134,-0.2999999999999545,-0.04248318448662758,0.21213203435597228
2019-10-25,2019-10-28,277.3,279.0,277.0378624379635,-1.6999999999999886,-0.2621375620365143,0.0
2019-10-28,2019-10-28,278.45,279.0,278.892563444376,0.5500000000000114,0.4425634443759918,0.0
2019-10-28,2019-10-29,278.45,279.8,278.3878385879099,0.0,-0.062161412090063095,0.45961940777123983
2019-10-29,2019-10-30,277.8,278.1,277.5586587369442,-0.30000000000001137,-0.2413412630558014,1.4849242404917657
2019-10-30,2019-10-31,275.7,277.45,275.9319592386484,1.75,0.2319592386484146,0.5656854249492461
2019-10-31,2019-11-01,276.5,276.5,275.98404520750046,-0.0,-0.5159547924995422,1.6263455967290672
2019-11-01,2019-11-04,278.8,280.5,278.4596420109272,-1.6999999999999886,-0.3403579890727997,3.111269837220793
2019-11-04,2019-11-05,283.2,283.5,282.52091361284255,-0.30000000000001137,-0.6790863871574402,0.9545941546018553
2019-11-05,2019-11-06,284.55,284.75,284.56269578933717,0.19999999999998863,0.012695789337158203,0.28284271247460296
2019-11-06,2019-11-07,284.95,284.4,285.31545288562774,-0.5500000000000114,0.3654528856277466,0.21213203435597228
2019-11-07,2019-11-08,284.65,286.1,284.5242904514074,-1.4500000000000455,-0.12570954859256744,0.7778174593051781
2019-11-08,2019-11-11,283.55,283.5,284.2199454188347,-0.05000000000001137,0.6699454188346863,1.6617009357884027
2019-11-11,2019-11-12,281.2,282.45,281.5954435586929,1.25,0.39544355869293213,2.0506096654410118
2019-11-12,2019-11-13,284.1,,283.8441294193268,,-0.2558705806732178,
accuracy, down accuracy, acc with interval
0.4482758620689655,0.625,0.3448275862068966
 ensemble, gradual, RRL, kelly, time steps, interval, layers, hidden_size, batch_size, iteration
False,True-365,0.5,0.1,20,1,2,500,20,500-300
 avg_profit, avg_loss,  avg_index, max_profit, max_loss, kelly
1.2538461538461503,-0.9599999999999985,276.68125000000003,3.3999999999999773,-3.0,7.450648920650735
