date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std,,
2017-12-29,2017-12-30,326.75,326.75,327.1421769,0,0,,# version_name
2018-01-01,2018-01-02,326.75,328.1,326.6700123,-1.350000024,0.954594155,,"ver = ""20norm_1days_high"""
2018-01-02,2018-01-03,328.1,329.7,327.784985,-1.600000024,1.13137085,,
2018-01-03,2018-01-04,329.7,330.75,328.9038881,-1.049999952,0.74246212,,#data file directorty
2018-01-04,2018-01-05,330.75,330.3,329.3098133,0.449999988,0.318198052,,"read_dir = """""
2018-01-05,2018-01-06,330.3,333.25,331.1816193,2.950000048,0.318198052,,
2018-01-08,2018-01-09,333.25,334.1,332.9711859,-0.850000024,0.601040764,,#data file name
2018-01-09,2018-01-10,334.1,332.55,333.4341552,1.549999952,1.096015511,,"file_name = ""../fnguide data/kospi200f_20norm_0304_high.csv"""
2018-01-10,2018-01-11,332.55,329.4500001,331.2168235,3.099999905,2.192031022,,"market = ""kospi200f"""
2018-01-11,2018-01-12,329.45,328.8,329.8072753,-0.649999976,0.459619408,,
2018-01-12,2018-01-13,328.8,330.35,328.9435473,1.549999952,0.459619408,,#temporary file name
2018-01-15,2018-01-16,330.35,331.9,330.9338423,1.549999952,1.096015511,,"tmp_file_name = ""tmp.csv"""
2018-01-16,2018-01-17,331.9,331.5,332.5459717,-0.400000006,0.282842712,,
2018-01-17,2018-01-18,331.5,333.3,332.7374256,1.799999952,1.272792206,,#model directory
2018-01-18,2018-01-19,333.3,331.75,333.0455584,1.549999952,1.096015511,,"model_dir = ""model_dir/"" + ver"
2018-01-19,2018-01-20,331.75,330.65,332.4918901,-1.100000024,1.096015511,,
2018-01-22,2018-01-23,330.65,332.35,330.2082628,-1.700000048,1.202081528,,#result file directory
2018-01-23,2018-01-24,332.35,333.95,332.6160222,1.600000024,1.13137085,,"result_dir = ""results_"" + ver"
2018-01-24,2018-01-25,333.95,336,334.1524885,2.049999952,1.449568901,,
2018-01-25,2018-01-26,336,337.05,336.722266,1.049999952,0.74246212,,#log file name
2018-01-26,2018-01-27,337.05,340.8999999,338.4700325,3.849999905,0.74246212,,"log_dir = ""log/"" + ver + "".log"""
2018-01-29,2018-01-30,340.9,339.55,341.4904348,-1.350000024,0.954594155,,
2018-01-31,2018-02-01,339.85,336.9,340.8152697,-2.950000048,2.085965005,,# the number of threads
2018-02-01,2018-02-02,336.9,334.2,337.9340606,-2.700000048,1.909188309,,num_threads = 4
2018-02-02,2018-02-03,334.2,325.5000002,331.4619317,8.699999809,1.909188309,,
2018-02-05,2018-02-06,325.5,320.3000002,324.288545,5.199999809,3.676955262,,class Config(object):
2018-02-06,2018-02-07,320.3,322.8999999,320.2827349,-2.599999905,1.838477631,,
2018-02-07,2018-02-08,322.9,315.2000002,321.3033788,7.699999809,5.444722215,,    ensemble = False
2018-02-08,2018-02-09,315.2,307.0999996,314.3571766,8.100000381,5.727564928,,    gradual = True
2018-02-09,2018-02-10,307.1,310.4,308.1430067,3.299999952,5.727564928,,
2018-02-12,2018-02-13,310.4,314.9500002,311.6295594,4.550000191,3.217335854,,    init_scale = 0.05
2018-02-13,2018-02-14,314.95,316.3,314.86612,-1.350000024,0.954594155,,    learning_rate = 0.001
2018-02-14,2018-02-15,316.3,316.3,317.68431,0,0,,
2018-02-15,2018-02-16,316.3,316.3,317.1114272,0,0,,    predict_term = 1
2018-02-16,2018-02-17,316.3,319.8999999,316.6538587,3.599999905,0,,
2018-02-19,2018-02-20,319.9,316.4,319.7230741,3.5,2.474873734,,    step_interval = 1
2018-02-20,2018-02-21,316.4,315.65,317.1720854,-0.75,0.530330086,,    num_steps = 20
2018-02-21,2018-02-22,315.65,313.95,316.365825,-1.700000048,1.202081528,,
2018-02-22,2018-02-23,313.95,318.0499999,314.0911734,4.099999905,2.899137803,,    num_layers = 2
2018-02-23,2018-02-24,318.05,319.45,319.2642429,1.399999976,2.899137803,,    hidden_size = 500
2018-02-26,2018-02-27,319.45,321.5499999,319.252527,-2.099999905,1.48492424,,    batch_size = 20
2018-02-28,2018-03-01,317.85,317.85,317.1292056,0,0,,
2018-03-01,2018-03-02,317.85,310.7500001,316.9361625,7.099999905,5.020458146,,    input_size = 943
2018-03-02,2018-03-03,310.75,309.2,311.2797606,-1.549999952,5.020458146,,    output_size = 1
2018-03-05,2018-03-06,309.2,311.4,309.7687443,2.200000048,1.555634919,,
2018-03-06,2018-03-07,311.4,314.7,313.3244254,3.299999952,2.333452378,,"    rnn_mode = ""basic"""
2018-03-07,2018-03-08,314.7,314.8,313.8305735,-0.100000001,0.070710678,,    norm_days = 0
2018-03-08,2018-03-09,314.8,321.2499998,315.1422625,6.449999809,4.560838739,,    conversion = 'diff'
2018-03-09,2018-03-10,321.25,322.5,322.0572358,1.25,4.560838739,,
2018-03-12,2018-03-13,322.5,323.1,322.6833082,0.600000024,0.424264069,,    iter_steps_max = 500
2018-03-13,2018-03-14,323.1,322.75,322.3885059,0.349999994,0.247487373,,    iter_steps = 100
2018-03-14,2018-03-15,322.75,324.05,322.226087,-1.299999952,0.919238816,,    gradual_steps = 500
2018-03-15,2018-03-16,324.05,323.9,322.2647081,0.150000006,0.106066017,,
2018-03-16,2018-03-17,323.9,323.15,323.0435561,0.75,0.106066017,,    alpha = 0
2018-03-19,2018-03-20,323.15,322.4,321.6299007,0.75,0.530330086,,    beta = 0
2018-03-20,2018-03-21,322.4,323.3,321.5287537,-0.899999976,0.636396103,,
2018-03-21,2018-03-22,323.3,325.4500001,323.1104938,-2.150000095,1.52027958,,    model_reset = True
2018-03-22,2018-03-23,325.45,317.7500002,322.6536593,7.699999809,5.444722215,,    shuffle = True
2018-03-23,2018-03-24,317.75,315.5999999,315.3187835,2.150000095,5.444722215,,
2018-03-26,2018-03-27,315.6,317.65,315.8300374,2.049999952,1.449568901,,"    train_start1 = ""2000-01-03"""
2018-03-27,2018-03-28,317.65,313.2000002,316.1272321,4.449999809,3.146625176,,"    train_end1 = ""2015-12-31"""
2018-03-28,2018-03-29,313.2,315.5499999,311.5904436,-2.349999905,1.661700936,,
2018-03-29,2018-03-30,315.55,317.9500001,316.2364827,2.400000095,1.697056275,,"    train_start2 = ""2000-01-03"""
2018-03-29,2018-03-30,315.55,317.9500001,316.0346794,2.400000095,1.697056275,,"    train_end2 = ""2017-12-31"""
2018-03-30,2018-03-31,317.95,318.05,317.4679474,-0.100000001,1.697056275,,
