asset_rebalancing0,date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std,
-0.424197644,2008-12-31,2009-01-01,153.4,152.3,150.0245224,1.1,0,
0.611491024,2009-01-01,2009-01-02,154.05,158.9499939,152.9996706,-4.899993896,4.702260095,
-0.016918644,2009-01-02,2009-01-05,161,160.8000061,158.8692912,0.199993896,1.308147545,
-0.124692917,2009-01-05,2009-01-06,162.45,163.55,161.161654,-1.1,1.944543648,
-0.318106323,2009-01-06,2009-01-07,163.55,168.05,164.7967529,4.5,3.181980515,
-0.575757205,2009-01-07,2009-01-08,166.15,163.1499908,168.1515598,-3.000009155,3.464823228,
-0.463934273,2009-01-08,2009-01-09,165.2,160.65,160.7745751,4.55,1.767766953,
0.67311877,2009-01-09,2009-01-12,159.35,156.8000092,162.9166409,-2.549990845,2.722361108,
-0.228441119,2009-01-12,2009-01-13,155.75,157.9499939,156.8533939,2.199993896,0.813172798,
-0.355702251,2009-01-13,2009-01-14,157.45,160.8999969,157.9888111,3.449996948,2.085965005,
-0.276514769,2009-01-14,2009-01-15,154.3,150.8500122,161.8000756,-3.449987793,7.106423151,
-0.481118083,2009-01-15,2009-01-16,151.85,154.2499939,149.6387261,-2.399993896,2.404163056,
0.317097247,2009-01-16,2009-01-19,155.65,156.3500061,154.3252719,-0.700006104,1.48492424,
0.280902714,2009-01-19,2009-01-20,153.55,152.85,157.7022066,-0.7,2.474873734,
-0.41938892,2009-01-20,2009-01-21,146.95,149.0499969,153.5413237,2.099996948,2.687005769,
-0.561653912,2009-01-21,2009-01-22,151.35,151.9999969,149.4074629,-0.649996948,2.085965005,
-0.510613859,2009-01-22,2009-01-23,149.75,147.6000061,152.1402476,-2.149993896,3.111269837,
-0.375453144,2009-01-23,2009-01-26,149.75,147.6,148.8285357,2.15,0,
-0.537233949,2009-01-26,2009-01-27,149.75,147.6,148.6752679,2.15,0,
-0.598356366,2009-01-27,2009-01-28,152.4,156.8999878,148.8021821,-4.499987793,6.576093065,
-0.633321583,2009-01-28,2009-01-29,157.7,158.4500031,154.5876504,-0.750003052,1.096015511,
0.435240716,2009-01-29,2009-01-30,155.7,157.1000092,158.8485332,1.400009155,0.954594155,
0.202877194,2009-01-30,2009-02-02,153.9,154.5499969,156.8173174,0.649996948,1.803122292,
0.227784321,2009-02-02,2009-02-03,155.1,156.8999908,154.3119634,-1.799990845,1.661700936,
0.268197775,2009-02-03,2009-02-04,159.85,161.7000031,157.7946177,-1.850003052,3.39411255,
-0.33298254,2009-02-04,2009-02-05,160.9,158.95,162.3025056,-1.95,1.944543648,
-0.509183705,2009-02-05,2009-02-06,162.25,164.8000061,159.1424449,-2.550006104,4.13657467,
-0.438460469,2009-02-06,2009-02-09,166.3,163.8999908,166.1986669,2.400009155,0.636396103,
-0.580606997,2009-02-09,2009-02-10,165.25,162.2500061,163.492888,2.999993896,1.166726189,
-0.242762312,2009-02-10,2009-02-11,158.35,160.3000031,162.3275115,1.950003052,1.378858223,
-0.106124289,2009-02-11,2009-02-12,159.25,158.1499908,162.4143765,-1.100009155,1.52027958,
