date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std,
2013-12-31,2014-01-01,264.1,263.45,262.8846571,0.65,0,
2014-01-01,2014-01-02,264.4,256.2,262.9985621,8.2,5.126524164,
2014-01-02,2014-01-03,256.15,253.0499908,256.9724149,-3.100009155,2.227386361,
2014-01-03,2014-01-06,253.25,253.6499908,254.3984464,0.399990845,0.424264069,
2014-01-06,2014-01-07,252.7,254.8500122,253.5385057,2.150012207,0.848528137,
2014-01-07,2014-01-08,255.65,254.6,254.7755972,1.05,0.176776695,
2014-01-08,2014-01-09,254.7,253.2999969,252.9483773,1.400003052,0.919238816,
2014-01-09,2014-01-10,252.4,251.1999939,252.3166892,1.200006104,1.48492424,
2014-01-10,2014-01-13,252.1,253.2500031,250.5942488,-1.150003052,1.449568901,
2014-01-13,2014-01-14,252.3,252.75,252.1609473,-0.45,0.353553391,
2014-01-14,2014-01-15,253.85,253.6499939,253.8244615,0.200006104,0.636396103,
2014-01-15,2014-01-16,253.85,254.15,255.1957969,0.3,0.353553391,
2014-01-16,2014-01-17,254.15,251.8000092,252.9432075,2.349990845,1.661700936,
2014-01-17,2014-01-20,251.7,253.8999908,250.6150002,-2.199990845,1.48492424,
2014-01-20,2014-01-21,253.65,255.7000031,254.2139674,2.050003052,1.272792206,
2014-01-21,2014-01-22,254.85,255.45,256.7506057,0.6,0.176776695,
2014-01-22,2014-01-23,255.7,252.3999969,254.4048208,3.300003052,2.156675683,
2014-01-23,2014-01-24,251.35,251.2000031,251.0105266,0.149996948,0.848528137,
2014-01-24,2014-01-27,247.3,248.0000031,249.9160373,0.700003052,2.2627417,
2014-01-27,2014-01-28,247.3,249.0500031,246.6176746,-1.750003052,0.74246212,
2014-01-28,2014-01-29,250,252.3,247.928432,-2.3,2.298097039,
2014-01-29,2014-01-30,250,252.3,250.7665303,2.3,0,
2014-01-30,2014-01-31,250,252.3,251.3093813,2.3,0,
2014-01-31,2014-02-03,250.3,248.6000031,251.6335791,-1.699996948,2.61629509,
2014-02-03,2014-02-04,245.3,243.85,247.6089941,-1.45,3.358757211,
2014-02-04,2014-02-05,244.9,244.35,242.7477695,0.55,0.353553391,
2014-02-05,2014-02-06,245.35,246.1999908,243.6201467,-0.849990845,1.308147545,
2014-02-06,2014-02-07,248.1,248.3000061,244.9052549,-0.200006104,1.48492424,
2014-02-07,2014-02-10,249.05,248.6000031,247.8556312,0.449996948,0.212132034,
2014-02-10,2014-02-11,247.9,249.6,247.8974442,-1.7,0.707106781,
2014-02-11,2014-02-12,250.8,250.4999939,248.606833,0.300006104,0.636396103,
2014-02-12,2014-02-13,250.55,248.1499939,251.0723892,-2.400006104,1.661700936,
2014-02-13,2014-02-14,249.15,251.6000122,246.6547504,-2.450012207,2.439518395,
2014-02-14,2014-02-17,253.15,251.6999908,252.105793,1.450009155,0.070710678,
2014-02-17,2014-02-18,251.6,251.8000061,250.5044051,-0.200006104,0.070710678,
2014-02-18,2014-02-19,251,249.9999969,251.8552044,-1.000003052,1.272792206,
2014-02-19,2014-02-20,249.05,249.1000061,249.0933653,0.050006104,0.636396103,
2014-02-20,2014-02-21,251.1,252.6999908,251.4598831,1.599990845,2.545584412,
2014-02-21,2014-02-24,252.7,252.2500031,250.8559504,0.449996948,0.318198052,
2014-02-24,2014-02-25,253.4,254.1000061,250.9762101,-0.700006104,1.308147545,
2014-02-25,2014-02-26,253.7,255.0499969,253.416543,-1.349996948,0.671751442,
2014-02-26,2014-02-27,254.7,255.4999969,255.9253495,0.799996948,0.318198052,
2014-02-27,2014-02-28,255.5,255.3000031,254.8262409,0.199996948,0.141421356,
2014-02-28,2014-03-03,253.6,253.6499908,255.3005248,0.049990845,1.166726189,
2014-03-03,2014-03-04,253.05,253.65,255.7402965,0.6,0,
2014-03-04,2014-03-05,255.4,254.9,253.3824368,0.5,0.883883476,
2014-03-05,2014-03-06,255.2,255.4,255.0695223,-0.2,0.353553391,
2014-03-06,2014-03-07,256.15,255.0000061,256.1674036,-1.149993896,0.282842712,
2014-03-07,2014-03-10,253.6,251.5500031,254.5939012,-2.049996948,2.439518395,
2014-03-10,2014-03-11,252.1,252.6999939,253.5779863,0.599993896,0.813172798,
2014-03-11,2014-03-12,251.65,248.5500061,252.5075951,-3.099993896,2.934493142,
2014-03-12,2014-03-13,249.7,250.1499908,247.8005918,-0.449990845,1.13137085,
2014-03-13,2014-03-14,247.35,247.15,250.211501,-0.2,2.121320344,
2014-03-14,2014-03-17,246.9,248.4,245.9413258,-1.5,0.883883476,
2014-03-17,2014-03-18,250.1,249.9,248.0402259,0.2,1.060660172,
2014-03-18,2014-03-19,251.05,250.0000061,251.6476804,-1.049993896,0.070710678,
2014-03-19,2014-03-20,248.85,246.75,250.3617645,-2.1,2.298097039,
2014-03-20,2014-03-21,247.8,249.0500031,248.5323157,1.250003052,1.626345597,
2014-03-21,2014-03-24,249.4,250.3,247.3234815,-0.9,0.883883476,
2014-03-24,2014-03-25,249.9,250.05,251.6859584,0.15,0.176776695,
2014-03-25,2014-03-26,251.6,253.6000031,249.0093171,-2.000003052,2.510229073,
2014-03-26,2014-03-27,253.5,254.6499878,254.6469303,1.149987793,0.74246212,
2014-03-27,2014-03-28,254.9,254.9,253.447382,0,0.176776695,
2014-03-28,2014-03-31,256.1,255.5000061,254.8698791,0.599993896,0.424264069,
2014-03-31,2014-04-01,255.7,256.9500122,255.0550366,-1.250012207,1.025304833,
2014-04-01,2014-04-02,257.85,257.4999878,256.4300158,0.350012207,0.38890873,
2014-04-02,2014-04-03,257.75,257.75,257.9525519,0,0.176776695,
2014-04-03,2014-04-04,257.55,258.5,256.6074106,-0.95,0.530330086,
2014-04-04,2014-04-07,257.3,257.5499878,258.1749354,0.249987793,0.671751442,
2014-04-07,2014-04-08,256.9,259.6500061,256.5229403,-2.750006104,1.48492424,
2014-04-08,2014-04-09,259.85,259.5000061,258.9908775,0.349993896,0.106066017,
2014-04-09,2014-04-10,260.7,259.7999878,259.2168617,0.900012207,0.212132034,
2014-04-10,2014-04-11,258,257.9000061,259.7228608,-0.099993896,1.343502884,
2014-04-11,2014-04-14,257.45,258.7000183,258.9231853,1.250018311,0.565685425,
2014-04-14,2014-04-15,259.45,257.7,257.6617929,1.75,0.707106781,
2014-04-15,2014-04-16,257.4,258.4999878,257.1015464,-1.099987793,0.565685425,
2014-04-16,2014-04-17,259.1,257.7999878,257.9065737,1.300012207,0.494974747,
2014-04-17,2014-04-18,259.15,259.6000183,256.8541459,-0.450018311,1.272792206,
2014-04-18,2014-04-21,259.75,259.4500061,259.7186063,0.299993896,0.106066017,
2014-04-21,2014-04-22,259.1,259.3999817,259.3750578,0.299981689,0.035355339,
2014-04-22,2014-04-23,260.05,258.7999939,258.7978472,1.250006104,0.424264069,
