date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std
2008-12-31,2009-01-01,153.4,152.3,150.6209991,1.1,0
2009-01-01,2009-01-02,154.05,158.9499939,152.4566087,-4.899993896,4.702260095
2009-01-02,2009-01-05,161,160.8000061,158.685806,0.199993896,1.308147545
2009-01-05,2009-01-06,162.45,163.55,161.1648364,-1.1,1.944543648
2009-01-06,2009-01-07,163.55,168.05,164.6661609,4.5,3.181980515
2009-01-07,2009-01-08,166.15,163.1499908,168.3497612,-3.000009155,3.464823228
2009-01-08,2009-01-09,165.2,160.65,160.6174513,4.55,1.767766953
2009-01-09,2009-01-12,159.35,156.8000092,162.5139808,-2.549990845,2.722361108
2009-01-12,2009-01-13,155.75,157.9499939,157.0897542,2.199993896,0.813172798
2009-01-13,2009-01-14,157.45,160.8999969,158.0614887,3.449996948,2.085965005
2009-01-14,2009-01-15,154.3,150.8500122,161.7970104,-3.449987793,7.106423151
2009-01-15,2009-01-16,151.85,154.2499939,149.3366848,-2.399993896,2.404163056
2009-01-16,2009-01-19,155.65,156.3500061,154.6223741,-0.700006104,1.48492424
2009-01-19,2009-01-20,153.55,152.85,159.0025722,-0.7,2.474873734
2009-01-20,2009-01-21,146.95,149.0499969,154.5318831,2.099996948,2.687005769
2009-01-21,2009-01-22,151.35,151.9999969,149.1566726,-0.649996948,2.085965005
2009-01-22,2009-01-23,149.75,147.6000061,151.4690006,-2.149993896,3.111269837
2009-01-23,2009-01-26,149.75,147.6,151.6617061,-2.15,0
2009-01-26,2009-01-27,149.75,147.6,150.2264355,-2.15,0
2009-01-27,2009-01-28,152.4,156.8999878,148.9227748,-4.499987793,6.576093065
2009-01-28,2009-01-29,157.7,158.4500031,154.366253,-0.750003052,1.096015511
2009-01-29,2009-01-30,155.7,157.1000092,158.7242515,1.400009155,0.954594155
2009-01-30,2009-02-02,153.9,154.5499969,158.4358351,0.649996948,1.803122292
2009-02-02,2009-02-03,155.1,156.8999908,154.0785745,-1.799990845,1.661700936
2009-02-03,2009-02-04,159.85,161.7000031,157.5747873,-1.850003052,3.39411255
2009-02-04,2009-02-05,160.9,158.95,162.6851579,-1.95,1.944543648
2009-02-05,2009-02-06,162.25,164.8000061,158.8183104,-2.550006104,4.13657467
