date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing0,std,
2010-12-30,2010-12-31,280.35,281.95,282.4704945,1.6,0,0,
2010-12-31,2011-01-03,282.4,283.2,279.2277541,-0.8,0,0.883883476,
2011-01-03,2011-01-04,282.9,284.6499817,284.6335207,1.749981689,0,1.025304833,
2011-01-04,2011-01-05,284.3,284.6000122,283.9836367,-0.300012207,0,0.035355339,
2011-01-05,2011-01-06,285.4,283.9500061,283.6511499,1.449993896,0,0.459619408,
2011-01-06,2011-01-07,282.95,285.2,283.4077625,2.25,0,0.883883476,
2011-01-07,2011-01-10,283.95,283.2999756,287.2199115,-0.650024414,0,1.343502884,
2011-01-10,2011-01-11,283.1,283.9500244,282.8530603,-0.850024414,0,0.459619408,
2011-01-11,2011-01-12,284,284.45,283.6735029,-0.45,0,0.353553391,
2011-01-12,2011-01-13,284.45,283.2999756,286.8200244,-1.150024414,0,0.813172798,
2011-01-13,2011-01-14,284,285.9500244,282.0452011,-1.950024414,0,1.87383297,
2011-01-14,2011-01-17,286.5,285.6499817,286.8526486,-0.850018311,0,0.212132034,
2011-01-17,2011-01-18,284.95,284.2999939,285.3860275,-0.650006104,0,0.954594155,
2011-01-18,2011-01-19,285.8,287.7000244,285.8206627,1.900024414,0,2.404163056,
2011-01-19,2011-01-20,286.45,286.1499817,286.2240124,0.300018311,0,1.096015511,
2011-01-20,2011-01-21,285.9,280.5000061,286.6407619,-5.399993896,0,3.995153314,
2011-01-21,2011-01-24,279.95,282.4500122,281.2365144,2.500012207,0,1.378858223,
2011-01-24,2011-01-25,283.7,284.2499878,284.1563035,0.549987793,0,1.272792206,
2011-01-25,2011-01-26,284,286.8500061,283.0157068,-2.850006104,0,1.838477631,
2011-01-26,2011-01-27,287.65,287.35,288.13557,-0.3,0,0.353553391,
2011-01-27,2011-01-28,287.3,286.7499939,287.092454,0.550006104,0,0.424264069,
2011-01-28,2011-01-31,283,282.1000061,285.0134318,-0.899993896,0,3.288046533,
2011-01-31,2011-02-01,283.05,281.9500061,285.4073442,-1.099993896,0,0.106066017,
2011-02-01,2011-02-02,283.05,281.95,281.3616223,1.1,0,0,
2011-02-02,2011-02-03,283.05,281.95,281.1701763,1.1,0,0,
2011-02-03,2011-02-04,283.05,281.95,281.4346317,1.1,0,0,
2011-02-04,2011-02-07,285.75,282.6499817,281.8179118,3.100018311,0,0.494974747,
2011-02-07,2011-02-08,283.65,280.65,282.1229449,3,0,1.414213562,
2011-02-08,2011-02-09,281.85,277.7500061,278.7686332,4.099993896,0,2.050609665,
2011-02-09,2011-02-10,276.25,272.6499939,278.9088695,-3.600006104,0,3.606244584,
2011-02-10,2011-02-11,272.65,267.7000183,274.3720525,-4.949981689,0,3.500178567,
2011-02-11,2011-02-14,271.05,273.5499756,266.1842726,-2.499975586,0,4.13657467,
2011-02-14,2011-02-15,273.85,272.3500183,274.0447636,-1.499981689,0,0.848528137,
2011-02-15,2011-02-16,272.9,270.8999878,272.2930968,2.000012207,0,1.025304833,
2011-02-16,2011-02-17,271.95,269.6000122,270.8542765,2.349987793,0,0.919238816,
2011-02-17,2011-02-18,270.95,273.6499878,266.4844261,-2.699987793,0,2.863782464,
2011-02-18,2011-02-21,273.65,271.9,273.7690592,-1.75,0,1.237436867,
2011-02-21,2011-02-22,268.95,267.5499939,273.6336558,-1.400006104,0,3.075914498,
2011-02-22,2011-02-23,266.9,267.7000244,266.8526584,-0.800024414,0,0.106066017,
2011-02-23,2011-02-24,266.95,265.1499817,264.5313084,1.800018311,0,1.803122292,
2011-02-24,2011-02-25,266.2,266.6000122,266.5518612,0.400012207,0,1.025304833,
2011-02-25,2011-02-28,265.85,263.6,267.2267996,-2.25,0,2.121320344,
2011-02-28,2011-03-01,265.85,263.6,263.6699825,2.25,0,0,
2011-03-01,2011-03-02,262.45,262.6,262.8232824,0.15,0,0.707106781,
2011-03-02,2011-03-03,264.05,267.6499878,262.3676747,-3.599987793,0,3.570889245,
2011-03-03,2011-03-04,270.3,272.9,268.2249161,-2.6,0,3.712310601,
2011-03-04,2011-03-07,272.3,269.0000061,272.2663207,3.299993896,0,2.757716447,
2011-03-07,2011-03-08,269.6,271.3500061,269.1977678,-1.750006104,0,1.661700936,
2011-03-08,2011-03-09,272.55,272.1499878,270.868642,0.400012207,0,0.565685425,
2011-03-09,2011-03-10,271.25,268.4,271.2463223,2.85,0,2.651650429,
2011-03-10,2011-03-11,265.75,264.3500122,268.5919082,-1.399987793,0,2.863782464,
2011-03-11,2011-03-14,264.9,268.4999939,264.8917624,-3.599993896,0,2.934493142,
2011-03-14,2011-03-15,268.3,261.7000122,267.1014116,6.599987793,0,4.808326112,
2011-03-15,2011-03-16,265.7,267.0999939,263.0714844,-1.399993896,0,3.818376618,
2011-03-16,2011-03-17,261.9,266.9999939,266.6109438,5.099993896,0,0.070710678,
2011-03-17,2011-03-18,267.5,269.8500061,267.4664196,-2.350006104,0,2.015254326,
2011-03-18,2011-03-21,270.2,272.4500061,269.6196256,-2.250006104,0,1.838477631,
2011-03-21,2011-03-22,273.45,273.8499939,271.1535632,-0.399993896,0,0.989949494,
2011-03-22,2011-03-23,274.2,273.7999817,275.5129833,-0.400018311,0,0.035355339,
