month,year,시가,손절 -3,누적손익,고점대비하락폭,leverage,invest rate,행 레이블,평균 : 시가,합계 : 손절 -3,행 레이블,평균 : 시가,합계 : 손절 -3,,년,지수평균,손익,누적,고점대비하락폭,
1,2007,201.9,-0.6,0.977711738,0,7.5,0.3,2007,230.1318008,5.49982605,2007,230.1318008,5.49982605,,2007,230.1318008,5.49982605,1.179239441,0,
1,2007,202.35,0.850003052,0.986952561,0,,,1,194.723913,-17.00001526,1,194.723913,-17.00001526,,2008,205.4921756,99.45006104,2.463325936,0,
1,2007,202.2,-3,0.954005331,0.033382789,,,2,200.35,-3.199975586,2,200.35,-3.199975586,,2009,193.46341,35.49999084,3.480356021,0,
1,2007,198.35,-3,0.921539811,0.066277502,,,3,198.125,1.650009155,3,198.125,1.650009155,,2010,239.6787356,0.750018311,3.504860674,0,
1,2007,196,-3,0.889803108,0.098433761,,,4,208.3761905,8.549957275,4,208.3761905,8.549957275,,2011,267.5926923,8.849951172,3.76566807,0,
1,2007,193.35,-0.999996948,0.879448565,0.10892519,,,5,218.6869565,5.699966431,5,218.6869565,5.699966431,,2012,258.058046,0.349780273,3.777152315,0,
1,2007,193.3,-0.45,0.874842038,0.113592615,,,6,233.7666667,5.849996948,6,233.7666667,5.849996948,,2013,255.4212644,-29.25013733,2.803916964,0.257663782,
1,2007,192.45,-3,0.844157789,0.144682508,,,7,252.3227273,27.50001221,7,252.3227273,27.50001221,,2014,253.2586207,24.30002441,3.409244094,0.097403597,
1,2007,190.4,-1.100003052,0.833184594,0.155800768,,,8,239.7891304,3.199987793,8,239.7891304,3.199987793,,2015,244.0438697,53.64998779,5.095573214,0,
1,2007,193.2,-1.3,0.820570386,0.168581734,,,9,248.4725,6.249990845,9,248.4725,6.249990845,,2016,245.2247126,11.34998779,5.626221449,0,
1,2007,195.2,-0.2,0.818678703,0.170498426,,,10,262.65,-15.85006409,10,262.65,-15.85006409,,2017,301.1430769,41.29968872,7.362315445,0,
1,2007,195.5,-0.149993896,0.81726544,0.171930372,,,11,252.4772727,-33.2500061,11,252.4772727,-33.2500061,,2018,300.4088123,58.44991455,10.58537367,0,
1,2007,194.75,-1.100012207,0.806879025,0.182454095,,,12,251.1452381,16.09996643,12,251.1452381,16.09996643,,,,,,,
1,2007,193.05,1.650003052,0.822395958,0.166732029,,,2008,205.4921756,99.45006104,2008,205.4921756,99.45006104,,월,지수평균,손익,누적,고점대비하락폭,수율
1,2007,192.85,-2.4,0.799368018,0.190064397,,,1,232.3326087,14.20003662,1,232.3326087,14.20003662,,1,194.723913,-17.00001526,0.345226211,0,0.625
1,2007,191.4,0.600003052,0.805006222,0.184351656,,,2,225.3261905,-0.849981689,2,225.3261905,-0.849981689,,2,200.35,-3.199975586,0.332819873,0.035936836,
