date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing_0,std
2006-12-29,2007-01-01,201.9,201.3,201.5389827,0.6,0.139311373,0
2007-01-01,2007-01-02,202.35,201.4999969,202.3071915,0.850003052,0.608225882,0.141421356
2007-01-02,2007-01-03,202.2,198.5,201.1475501,3.7,0.891982257,2.121320344
2007-01-03,2007-01-04,198.35,196.1999969,198.8161245,-2.150003052,-0.686620235,1.626345597
2007-01-04,2007-01-05,196,194.0500061,196.3058444,-1.949993896,0.858705938,1.52027958
2007-01-05,2007-01-08,193.35,192.3500031,193.9121683,-0.999996948,-0.18787533,1.202081528
2007-01-08,2007-01-09,193.3,192.85,193.716711,-0.45,0.110795252,0.353553391
2007-01-09,2007-01-10,192.45,189.9499908,191.2082096,2.500009155,0.95714885,2.050609665
2007-01-10,2007-01-11,190.4,191.5000031,192.0502798,1.100003052,-0.859259307,1.096015511
2007-01-11,2007-01-12,193.2,194.5,193.6603634,1.3,0.964440644,2.121320344
2007-01-12,2007-01-15,195.2,195,193.9202055,0.2,0.956696391,0.353553391
2007-01-15,2007-01-16,195.5,195.3500061,196.4768227,-0.149993896,-0.630638003,0.247487373
2007-01-16,2007-01-17,194.75,193.6499878,196.0366703,-1.100012207,0.961573958,1.202081528
2007-01-17,2007-01-18,193.05,194.7000031,195.2439769,1.650003052,0.41936335,0.74246212
2007-01-18,2007-01-19,192.85,190.45,194.4055847,-2.4,0.957664967,3.00520382
2007-01-19,2007-01-22,191.4,192.0000031,192.0089037,0.600003052,-0.616783202,1.096015511
2007-01-22,2007-01-23,190.95,191.8000031,192.472522,0.850003052,0.964528799,0.141421356
2007-01-23,2007-01-24,192.85,195.1499908,190.6767377,-2.299990845,0.116821222,2.368807717
2007-01-24,2007-01-25,195.7,195.1000122,195.7812402,-0.599987793,-0.824672401,0.035355339
2007-01-25,2007-01-26,194,192.5499969,194.8269621,-1.450003052,0.926370561,1.803122292
2007-01-26,2007-01-29,193.4,192.1000031,193.8718201,-1.299996948,-0.634032428,0.318198052
2007-01-29,2007-01-30,191.95,193.1,191.9099757,-1.15,0.958065331,0.707106781
2007-01-30,2007-01-31,193.55,191.6,193.814565,-1.95,-0.601496816,1.060660172
2007-01-31,2007-02-01,192.3,194.5499969,193.5815164,2.249996948,0.9187482,2.085965005
2007-02-01,2007-02-02,195,197.9999969,194.0619888,-2.999996948,0.949101448,2.439518395
2007-02-02,2007-02-05,198.35,198.8999939,198.9253902,0.549993896,-0.675813019,0.636396103
2007-02-05,2007-02-06,199.25,200.1000122,198.720957,-0.850012207,0.94359082,0.848528137
2007-02-06,2007-02-07,200.4,200.3999878,199.5555966,1.22E-05,-0.586604238,0.212132034
2007-02-07,2007-02-08,200.3,199.2000031,200.204567,1.099996948,-0.277086318,0.848528137
2007-02-08,2007-02-09,199.6,199.7,200.4334203,0.1,0.240496412,0.353553391
2007-02-09,2007-02-12,198.05,197.7500031,200.606394,-0.299996948,0.945240259,1.378858223
2007-02-12,2007-02-13,197.5,198.8999939,198.0069191,1.399993896,0.626229644,0.813172798
2007-02-13,2007-02-14,200,200.9500031,200.3692246,0.950003052,0.131295562,1.449568901
2007-02-14,2007-02-15,202.3,202.0500061,201.2265421,0.249993896,0.961827993,0.777817459
2007-02-15,2007-02-16,202.15,202.8,201.5254062,-0.65,-0.237186074,0.530330086
2007-02-16,2007-02-19,202.15,202.8,203.1275809,0.65,-0.481753021,0
2007-02-19,2007-02-20,202.8,202.9999969,202.8661561,0.199996948,0.842160344,0.141421356
2007-02-20,2007-02-21,203.3,203.3500061,202.8457854,-0.050006104,-0.211733937,0.247487373
2007-02-21,2007-02-22,203.4,204.9499908,202.231424,-1.549990845,0.109899618,1.13137085
2007-02-22,2007-02-23,205.05,204.8000061,204.7225027,0.249993896,-0.823313892,0.106066017
2007-02-23,2007-02-26,204.8,204.8500031,204.6464225,-0.050003052,0.591650844,0.035355339
2007-02-26,2007-02-27,204.8,202.85,205.4839775,-1.95,-0.214234918,1.414213562
2007-02-27,2007-02-28,195.5,197.6999908,201.3142364,2.199990845,0.894668698,3.641599923
2007-02-28,2007-03-01,195.5,197.7,194.3061933,-2.2,-0.880836666,0
2007-03-01,2007-03-02,196.45,197.2,196.4814869,0.75,-0.93060112,0.353553391
2007-03-02,2007-03-05,196,192.3000061,195.7669081,3.699993896,-0.667889714,3.464823228
2007-03-05,2007-03-06,193.35,195.6000031,191.099823,-2.250003052,-0.836046219,2.333452378
2007-03-06,2007-03-07,197.4,197.2499939,195.1889333,0.150006104,-0.703923404,1.166726189
2007-03-07,2007-03-08,196.45,197.75,197.493113,1.3,0.211144477,0.353553391
2007-03-08,2007-03-09,198.2,196.5,198.7745874,-1.7,0.66031456,0.883883476
2007-03-09,2007-03-12,198.2,199.1000061,196.6943945,-0.900006104,0.890130162,1.838477631
2007-03-12,2007-03-13,199.1,198.5499969,199.7614718,-0.550003052,-0.234651431,0.38890873
2007-03-13,2007-03-14,195.05,194.4999969,197.535875,-0.550003052,0.890544534,2.863782464
2007-03-14,2007-03-15,196.2,197.6499939,193.5005617,-1.449993896,-0.840752602,2.227386361
2007-03-15,2007-03-16,197.45,196.8500122,197.5980924,-0.599987793,-0.538227439,0.565685425
2007-03-16,2007-03-19,196.8,198.9499908,197.6770396,2.149990845,0.623945057,1.48492424
2007-03-19,2007-03-20,199.4,199.6499969,200.2789192,0.249996948,0.855713069,0.494974747
2007-03-20,2007-03-21,199.75,198.7000031,200.2169497,-1.049996948,0.898895979,0.671751442
2007-03-21,2007-03-22,201.15,200.3000061,197.9472739,0.849993896,0.27001375,1.13137085
2007-03-22,2007-03-23,200.65,200.3,198.9553659,0.35,-0.742383182,0
2007-03-23,2007-03-26,200.75,200.3,199.4966628,0.45,-0.801115394,0
2007-03-26,2007-03-27,200.2,201.4999969,199.6681677,-1.299996948,-0.318839699,0.848528137
2007-03-27,2007-03-28,200.7,198.8999939,200.3568994,1.800006104,-0.406708866,1.838477631
2007-03-28,2007-03-29,198.55,200.7500061,197.9414124,-2.200006104,-0.773141325,1.308147545
2007-03-29,2007-03-30,201.45,200.3999939,201.3384734,1.050006104,-0.50317961,0.247487373
2007-03-30,2007-04-02,201.45,201.5000061,199.4242837,-0.050006104,0.903892159,0.777817459
2007-04-02,2007-04-03,201.85,202.3500061,202.5605961,0.500006104,-0.83887881,0.601040764
2007-04-03,2007-04-04,203.4,204.8999878,202.236615,-1.499987793,0.954461217,1.803122292
2007-04-04,2007-04-05,205,204.5000061,205.6191981,-0.499993896,-0.566275775,0.282842712
2007-04-05,2007-04-06,205.25,204.8500061,203.7535428,0.399993896,0.918170452,0.247487373
2007-04-06,2007-04-09,205.7,206.6999908,203.9208283,-0.999990845,-0.79439199,1.308147545
2007-04-09,2007-04-10,206.55,206.8000061,206.3178322,-0.250006104,-0.532003343,0.070710678
2007-04-10,2007-04-11,207.55,208.6499908,206.1538559,-1.099990845,0.114749812,1.308147545
2007-04-11,2007-04-12,208.25,208.7000031,208.2006916,-0.450003052,-0.603844225,0.035355339
2007-04-12,2007-04-13,209.25,208.8999969,209.3293765,-0.350003052,-0.050815791,0.141421356
2007-04-13,2007-04-16,209.3,210.2500061,208.1689437,-0.950006104,0.890120506,0.954594155
2007-04-16,2007-04-17,210.7,209.8500061,210.1925714,0.849993896,-0.800301313,0.282842712
2007-04-17,2007-04-18,210.5,210.4499908,208.2140656,0.050009155,0.704657555,0.424264069
2007-04-18,2007-04-19,210.45,207.7,209.3941439,2.75,-0.891597152,1.944543648
2007-04-19,2007-04-20,208.35,210.3500092,207.9814797,-2.000009155,-0.532029569,1.87383297
2007-04-20,2007-04-23,211.65,211.6,211.5462389,0.05,0.826839805,0.883883476
2007-04-23,2007-04-24,211.55,212.8999878,210.7333262,-1.349987793,0.895850778,0.919238816
2007-04-24,2007-04-25,213,211.7000031,212.6281682,1.299996948,-0.807731569,0.848528137
2007-04-25,2007-04-26,213.7,212.8000061,212.1733663,0.899993896,0.515746653,0.777817459
2007-04-26,2007-04-27,211.75,211.1499908,213.8828809,-0.600009155,0.691777587,1.166726189
2007-04-27,2007-04-30,210.7,211.65,211.0853158,0.95,0.875341773,0.353553391
2007-04-30,2007-05-01,210.7,211.65,211.46949,0.95,-0.442067981,0
2007-05-01,2007-05-02,213,212.5000061,210.4453308,0.499993896,0.184073448,0.601040764
2007-05-02,2007-05-03,213.45,213.8999939,212.5293464,-0.449993896,-0.841435909,0.989949494
2007-05-03,2007-05-04,213.9,214.3000092,213.9410058,0.400009155,0.793738723,0.282842712
2007-05-04,2007-05-07,214.75,216.1499908,213.8594889,-1.399990845,-0.113254137,1.308147545
2007-05-07,2007-05-08,216.05,215.8000092,216.444511,-0.249990845,-0.380633742,0.247487373
2007-05-08,2007-05-09,215.8,217.8999908,214.9043921,-2.099990845,0.808359087,1.48492424
2007-05-09,2007-05-10,218.2,218.9,217.6389128,-0.7,-0.821442962,0.707106781
2007-05-10,2007-05-11,217.45,218.6000122,220.2327022,1.150012207,0.456518859,0.212132034
2007-05-11,2007-05-14,219.95,218.6499878,220.143507,-1.300012207,0.944934666,0.035355339
2007-05-14,2007-05-15,218.05,216.15,218.4133315,-1.9,0.906611979,1.767766953
