date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing0,std,
2018-12-31,2019-01-01,262.95,263.25,263.3035051,0.3,6.02E-05,0,0.001140901
2019-01-01,2019-01-02,265.55,260.1000061,263.2815566,5.449993896,-0.000461187,2.227386361,0.020523419
2019-01-02,2019-01-03,260.1,257.85,260.1065403,-2.25,-0.001069802,1.590990258,-0.008650519
2019-01-03,2019-01-04,257.75,260.1,257.8692443,2.35,-0.001469257,1.590990258,0.009117362
2019-01-04,2019-01-07,263.25,264.0499817,260.0872148,-0.799981689,-0.001413702,2.793071786,-0.003038867
2019-01-07,2019-01-08,263.65,262.0000122,264.0130606,-1.649987793,-0.001321418,1.449568901,-0.006258251
2019-01-08,2019-01-09,262.55,267.2999878,261.9580566,-4.749987793,-0.001037457,3.74766594,-0.018091746
2019-01-09,2019-01-10,267.45,267.05,267.1991825,0.4,-0.000450539,0.176776695,0.001495607
2019-01-10,2019-01-11,268.65,269.2000244,266.936451,-0.550024414,0.000223519,1.52027958,-0.002047364
2019-01-11,2019-01-14,268.2,266.6499817,269.0637697,-1.550018311,0.001287773,1.803122292,-0.005779337
2019-01-14,2019-01-15,267.85,272.1000122,266.5146002,-4.250012207,0.002559592,3.853731957,-0.015867135
2019-01-15,2019-01-16,271.5,273.35,271.9888992,1.85,0.003878812,0.883883476,0.006813996
2019-01-16,2019-01-17,273.7,273.6,273.2331586,0.1,0.004994223,0.176776695,0.000365364
2019-01-17,2019-01-18,275.15,275.9999939,273.4774171,-0.849993896,0.005633126,1.697056275,-0.003089202
2019-01-18,2019-01-21,277.75,276.0499878,275.8614678,1.700012207,0.006004415,0.035355339,0.006120656
2019-01-21,2019-01-22,276.15,274.3500183,275.9266279,1.799981689,0.006265819,1.202081528,0.00651813
2019-01-22,2019-01-23,273.25,276.0499817,274.2436114,2.799981689,0.006579029,1.202081528,0.01024696
2019-01-23,2019-01-24,276.05,278.3500183,276.0002289,-2.300018311,0.006743487,1.626345597,-0.00833189
2019-01-24,2019-01-25,279.15,283.6499878,278.2962315,-4.499987793,0.006717909,3.74766594,-0.016120322
2019-01-25,2019-01-28,283.7,283.4,283.6080479,0.3,0.006134776,0.176776695,0.001057455
2019-01-28,2019-01-29,282.9,284.7999939,283.3552249,1.899993896,0.005217252,0.989949494,0.006716133
2019-01-29,2019-01-30,284.85,288.8500183,284.7203077,-4.000018311,0.004346371,2.863782464,-0.014042543
2019-01-30,2019-01-31,291.25,288.2000061,288.7846666,3.049993896,0.003630683,0.459619408,0.010472082
2019-01-31,2019-02-01,289.05,287.5499756,288.0871728,1.500024414,0.00340896,0.459619408,0.005189498
2019-02-01,2019-02-04,289.05,287.55,287.4200616,1.5,0.003371696,0,0.005189414
2019-02-04,2019-02-05,289.05,287.55,287.4098716,1.5,0.00377469,0,0.005189414
2019-02-05,2019-02-06,289.05,287.55,287.3847221,1.5,0.004493079,0,0.005189414
2019-02-06,2019-02-07,289.3,287.2500122,287.3770143,2.049987793,0.005311374,0.212132034,0.007086028
