date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing_0,std
2018-12-31,2019-01-01,262.95,263.25,265.0257777,0.3,-0.410882026,0
2019-01-01,2019-01-02,265.55,260.1000061,264.2139973,5.449993896,0.926497579,2.227386361
2019-01-02,2019-01-03,260.1,257.85,261.2149163,-2.25,0.706571698,1.590990258
2019-01-03,2019-01-04,257.75,260.1,258.7447639,2.35,0.838530362,1.590990258
2019-01-04,2019-01-07,263.25,264.0499817,260.7743876,-0.799981689,0.683878541,2.793071786
2019-01-07,2019-01-08,263.65,262.0000122,263.7457138,-1.649987793,0.41123116,1.449568901
2019-01-08,2019-01-09,262.55,267.2999878,262.3565404,-4.749987793,-0.637475669,3.74766594
2019-01-09,2019-01-10,267.45,267.05,267.1226477,0.4,0.387810796,0.176776695
2019-01-10,2019-01-11,268.65,269.2000244,266.5270896,-0.550024414,-0.410794735,1.52027958
2019-01-11,2019-01-14,268.2,266.6499817,268.5933511,-1.550018311,-0.459460437,1.803122292
2019-01-14,2019-01-15,267.85,272.1000122,266.1956368,-4.250012207,-0.452355146,3.853731957
2019-01-15,2019-01-16,271.5,273.35,270.5613732,-1.85,-0.306252211,0.883883476
2019-01-16,2019-01-17,273.7,273.6,274.0342604,-0.1,-0.695696592,0.176776695
2019-01-17,2019-01-18,275.15,275.9999939,273.6072884,-0.849993896,0.623062551,1.697056275
2019-01-18,2019-01-21,277.75,276.0499878,274.9674157,1.700012207,0.028981535,0.035355339
2019-01-21,2019-01-22,276.15,274.3500183,276.4818287,-1.799981689,-0.653713763,1.202081528
2019-01-22,2019-01-23,273.25,276.0499817,274.1515223,2.799981689,0.506735742,1.202081528
2019-01-23,2019-01-24,276.05,278.3500183,275.4113721,-2.300018311,-0.23163569,1.626345597
2019-01-24,2019-01-25,279.15,283.6499878,278.8556259,-4.499987793,-0.466684401,3.74766594
2019-01-25,2019-01-28,283.7,283.4,284.6685096,-0.3,0.6447559,0.176776695
2019-01-28,2019-01-29,282.9,284.7999939,283.4907262,1.899993896,0.931020319,0.989949494
2019-01-29,2019-01-30,284.85,288.8500183,285.1235525,4.000018311,-0.397854537,2.863782464
2019-01-30,2019-01-31,291.25,288.2000061,290.0110663,3.049993896,0.373442829,0.459619408
2019-01-31,2019-02-01,289.05,287.5499756,287.9679579,1.500024414,0.926127315,0.459619408
2019-02-01,2019-02-04,289.05,287.55,287.286984,1.5,-0.648747742,0
2019-02-04,2019-02-05,289.05,287.55,287.0404935,1.5,-0.237918213,0
2019-02-05,2019-02-06,289.05,287.55,287.3642296,1.5,-0.459135294,0
2019-02-06,2019-02-07,289.3,287.2500122,287.059095,2.049987793,-0.068170823,0.212132034
2019-02-07,2019-02-08,285.75,283.1499939,287.3911102,-2.600006104,-0.379098803,2.899137803
2019-02-08,2019-02-11,283.45,283.9,281.5633086,-0.45,0.383608937,0.530330086
2019-02-11,2019-02-12,283.65,285.5499939,283.9530645,1.899993896,-0.726128221,1.166726189
2019-02-12,2019-02-13,286.65,286.9500244,286.6946168,0.300024414,0.182936266,0.989949494
2019-02-13,2019-02-14,285.7,289.5999939,286.6065396,3.899993896,0.925724447,1.87383297
2019-02-14,2019-02-15,288.05,285.3999878,290.3454209,-2.650012207,-0.602595687,2.969848481
2019-02-15,2019-02-18,287.25,288.0000061,284.1658594,-0.750006104,0.744457543,1.838477631
2019-02-18,2019-02-19,287.3,286.8999939,288.2380452,-0.400006104,-0.751192987,0.777817459
2019-02-19,2019-02-20,288.3,289.65,286.4591642,-1.35,0.3007963,1.944543648
2019-02-20,2019-02-21,288.75,289.8500122,289.4364247,1.100012207,-0.443183005,0.141421356
2019-02-21,2019-02-22,289.5,289.9999939,290.5664517,0.499993896,-0.078482032,0.106066017
2019-02-22,2019-02-25,291.55,290.7999878,290.5740026,0.750012207,0.807373881,0.565685425
2019-02-25,2019-02-26,290.15,289.0000122,291.4900255,-1.149987793,0.710735857,1.272792206
2019-02-26,2019-02-27,290.55,289.7000122,289.3495094,0.849987793,0.731765747,0.494974747
2019-02-27,2019-02-28,289.8,285.0999939,290.3493832,-4.700006104,0.098715678,3.252691193
2019-02-28,2019-03-01,289.8,285.1,286.0924521,4.7,0.713093817,0
2019-03-01,2019-03-04,287.35,283.85,285.2562963,3.5,0.887221456,0.883883476
2019-03-04,2019-03-05,282.75,281.9500061,283.8893747,-0.799993896,-0.43076396,1.343502884
2019-03-05,2019-03-06,281.85,281.7499878,281.1035245,0.100012207,-0.04673548,0.141421356
