date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std,고가,저가,일자,저가와의 차,고가와의 차,예측,최대 손실,손절매 -2,,,,
2014-01-01,2014-01-03,264.45,254.0500004,265.6506295,-10.39999962,5.332994781,265.25,263.85,2014-01-01,11.65,1,1,11.65,-3,1월 손익 합계,67.4000005,평균이익,평균손실
2014-01-02,2014-01-04,257.2,254.65,258.5597478,-2.549999952,5.332994781,265.45,257.2,2014-01-02,4.4,0.15,1,4.4,-3,1월 일 평균 이익/손실,0.514503821,2.862676062,-2.469999999
2014-01-03,2014-01-05,254.05,255.85,256.0723956,1.799999952,5.332994781,257.35,252.8,2014-01-03,0.55,2.85,1,0.55,1.799999952,1월 accuracy,0.541984733,,
2014-01-06,2014-01-08,254.65,255.6,256.9779035,0.949999988,0.633113997,256.65,253.5,2014-01-06,0.95,2.45,1,0.95,0.949999988,0제외,0.568,,
2014-01-07,2014-01-09,255.85,254.3,258.9696971,-1.549999952,0.832165849,256.9,253.7,2014-01-07,1.85,1.25,1,1.85,-1.549999952,,,,
2014-01-08,2014-01-10,255.6,252.1999999,257.0590653,-3.400000095,1.715614564,257.1,254.15,2014-01-08,4.55,0.5,1,4.55,-3,,# version_name,,
2014-01-09,2014-01-11,254.3,254.25,255.2301819,-0.050000001,1.715614564,256.1,254,2014-01-09,3.25,0.9,1,3.25,-3,,"ver = ""20norm_2days""",,
2014-01-10,2014-01-12,252.2,253.75,253.4026612,1.549999952,1.715614564,255.2,251.05,2014-01-10,0.15,3.85,1,0.15,1.549999952,,,,
2014-01-13,2014-01-15,254.25,254.65,253.4830807,-0.400000006,0.450924975,254.4,252.55,2014-01-13,2.2,1.8,-1,1.8,-0.400000006,,#data file directorty,,
2014-01-14,2014-01-16,253.75,255.15,255.2055103,1.399999976,0.709459888,256.05,252.05,2014-01-14,0.4,2.35,1,0.4,1.399999976,,"read_dir = """"",,
2014-01-15,2014-01-17,254.65,252.8,256.2756094,-1.850000024,1.23794184,255.15,253.35,2014-01-15,2.15,1.45,1,2.15,-1.850000024,,,,
2014-01-16,2014-01-18,255.15,254.9,254.3697413,0.25,1.23794184,256.1,254.45,2014-01-16,3.9,0.35,-1,0.35,0.25,,#data file name,,
2014-01-17,2014-01-19,252.8,256.7000001,251.5140876,-3.900000095,1.23794184,255.5,252.5,2014-01-17,1.55,3.9,-1,3.9,-3,,"file_name = ""../fnguide data/kospi200f_20norm_0304.csv""",,
2014-01-20,2014-01-22,254.9,256.45,254.5723391,-1.549999952,0.975106832,255.05,251.25,2014-01-20,0.9,1.8,-1,1.8,-1.549999952,,"market = ""kospi200f""",,
2014-01-21,2014-01-23,256.7,253.4,256.6799771,3.299999952,1.837344098,256.7,254,2014-01-21,3.4,0.15,-1,0.15,3.299999952,,,,
2014-01-22,2014-01-24,256.45,252.2,256.8210601,-4.25,2.191080403,256.65,255.45,2014-01-22,6.05,0.4,1,6.05,-3,,#temporary file name,,
2014-01-23,2014-01-25,253.4,248.9999999,251.7311355,4.400000095,2.191080403,256.85,253.3,2014-01-23,6.35,0.45,-1,0.45,4.400000095,,"tmp_file_name = ""tmp.csv""",,
2014-01-24,2014-01-26,252.2,250.0499999,249.0326998,2.150000095,2.191080403,252.95,250.4,2014-01-24,5.15,2,-1,2,2.150000095,,,,
2014-01-27,2014-01-29,249,253.3000002,249.8041475,4.300000191,2.241837044,250.1,247.05,2014-01-27,1.05,4.3,1,1.05,4.300000191,,#model directory,,
2014-01-28,2014-01-30,250.05,253.3,250.5498626,3.25,1.876388375,250.2,247.95,2014-01-28,0.65,3.25,1,0.65,3.25,,"model_dir = ""model_dir/"" + ver",,
2014-01-29,2014-01-31,253.3,253.3,251.2859455,0,0,253.3,250.7,2014-01-29,2.6,0,-1,0,0,,,,
2014-01-30,2014-02-01,253.3,249.6,252.695081,3.700000048,0,253.3,250.7,2014-01-30,4.55,0,-1,0,3.700000048,,#result file directory,,
2014-01-31,2014-02-02,253.3,244.8500002,252.5630724,8.449999809,0,253.3,250.7,2014-01-31,9.25,1.6,-1,1.6,8.449999809,,"result_dir = ""results_"" + ver",,
2014-02-03,2014-02-05,249.6,245.35,250.3851216,-4.25,2.610076627,251.7,248.75,2014-02-03,5.55,3.2,1,5.55,-3,,,,
2014-02-04,2014-02-06,244.85,247.1999999,245.670067,2.349999905,1.23794184,246.4,244.05,2014-02-04,0.5,3.65,1,0.5,2.349999905,,#log file name,,
2014-02-05,2014-02-07,245.35,249.3,244.0293782,-3.950000048,1.976318126,246.4,244.35,2014-02-05,0.75,4.6,-1,4.6,-3,,"log_dir = ""log/"" + ver + "".log""",,
