date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std,1월달만 따로 계산,,,,
2014-01-01,2014-01-03,264.45,254.0500004,264.4974908,-10.39999962,5.332994781,손익 합계,25.90000116,,# version_name,
2014-01-02,2014-01-04,257.2,254.65,259.6534593,-2.549999952,5.332994781,accuracy,0.517241379,,"ver = ""20norm_2days""",
2014-01-03,2014-01-05,254.05,255.85,257.5068567,1.799999952,5.332994781,평균이익,3.341111122,,,
2014-01-06,2014-01-08,254.65,255.6,256.123683,0.949999988,0.633113997,평균손실,-2.673809511,,#data file directorty,
2014-01-07,2014-01-09,255.85,254.3,257.2834539,-1.549999952,0.832165849,평균손익 ,0.291011249,,"read_dir = """"",
2014-01-08,2014-01-10,255.6,252.1999999,255.945122,-3.400000095,1.715614564,,,,,
2014-01-09,2014-01-11,254.3,254.25,253.2104633,0.050000001,1.715614564,,,,#data file name,
2014-01-10,2014-01-12,252.2,253.75,253.3175808,1.549999952,1.715614564,,,,"file_name = ""../fnguide data/kospi200f_20norm_0304.csv""",
2014-01-13,2014-01-15,254.25,254.65,254.2868707,0.400000006,0.450924975,,,,"market = ""kospi200f""",
2014-01-14,2014-01-16,253.75,255.15,254.8336653,1.399999976,0.709459888,,,,,
2014-01-15,2014-01-17,254.65,252.8,256.0259691,-1.850000024,1.23794184,,,,#temporary file name,
2014-01-16,2014-01-18,255.15,254.9,255.2802475,-0.25,1.23794184,,,,"tmp_file_name = ""tmp.csv""",
2014-01-17,2014-01-19,252.8,256.7000001,251.6257908,-3.900000095,1.23794184,,,,,
2014-01-20,2014-01-22,254.9,256.45,253.8214842,-1.549999952,0.975106832,,,,#model directory,
2014-01-21,2014-01-23,256.7,253.4,257.1915953,-3.299999952,1.837344098,,,,"model_dir = ""model_dir/"" + ver",
2014-01-22,2014-01-24,256.45,252.2,256.8321982,-4.25,2.191080403,,,,,
2014-01-23,2014-01-25,253.4,248.9999999,251.55007,4.400000095,2.191080403,,,,#result file directory,
2014-01-24,2014-01-26,252.2,250.0499999,249.2789499,2.150000095,2.191080403,,,,"result_dir = ""results_"" + ver",
2014-01-27,2014-01-29,249,253.3000002,249.5023509,4.300000191,2.241837044,,,,,
2014-01-28,2014-01-30,250.05,253.3,250.9188762,3.25,1.876388375,,,,#log file name,
2014-01-29,2014-01-31,253.3,253.3,252.2364791,0,0,,,,"log_dir = ""log/"" + ver + "".log""",
2014-01-30,2014-02-01,253.3,249.6,252.0934753,3.700000048,0,,,,,
2014-01-31,2014-02-02,253.3,244.8500002,252.2210262,8.449999809,0,,,,# the number of threads,
2014-02-03,2014-02-05,249.6,245.35,249.1877511,4.25,2.610076627,,,,num_threads = 4,
2014-02-04,2014-02-06,244.85,247.1999999,245.1083639,2.349999905,1.23794184,,,,,
2014-02-05,2014-02-07,245.35,249.3,245.8982364,3.950000048,1.976318126,,,,class Config(object):,
2014-02-06,2014-02-08,247.2,249.6000001,243.3979024,-2.400000095,1.976318126,,,,,
2014-02-07,2014-02-09,249.3,250.6,245.3995159,-1.299999952,1.976318126,,,,    ensemble = False,
2014-02-10,2014-02-12,249.6,251.5,249.0643097,-1.899999976,0.950438495,,,,    gradual = True,
2014-02-11,2014-02-13,250.6,249.15,248.020341,1.450000048,1.185678427,,,,,
2014-02-12,2014-02-14,251.5,252.6,248.7177196,-1.100000024,1.762337463,,,,    init_scale = 0.05,
2014-02-13,2014-02-15,249.15,252.7,247.4347596,-3.549999952,1.762337463,,,,    learning_rate = 0.001,
2014-02-14,2014-02-16,252.6,252.8,252.6052174,0.200000003,1.762337463,,,,,
2014-02-17,2014-02-19,252.7,251,253.6698858,-1.700000048,1.011599394,,,,    predict_term = 2,
2014-02-18,2014-02-20,252.8,250.1,250.9736789,2.700000048,1.374772708,,,,,
2014-02-19,2014-02-21,251,253.7,250.9689417,-2.700000048,1.8734994,,,,    step_interval = 2,
2014-02-20,2014-02-22,250.1,253.2500001,252.542889,3.150000095,1.8734994,,,,    num_steps = 30,
2014-02-21,2014-02-23,253.7,255.1,253.2303268,-1.399999976,1.8734994,,,,,
2014-02-24,2014-02-26,253.25,256.05,253.5379131,2.799999952,1.423903087,,,,    num_layers = 2,
2014-02-25,2014-02-27,255.1,256.5,254.6182799,-1.399999976,0.714726055,,,,    hidden_size = 500,
2014-02-26,2014-02-28,256.05,256.3,256.2228334,0.25,0.225462488,,,,    batch_size = 20,
2014-02-27,2014-03-01,256.5,254.65,256.0352945,1.850000024,0.225462488,,,,,
2014-02-28,2014-03-02,256.3,254.65,256.3995576,-1.649999976,0.225462488,,,,    input_size = 943,
2014-03-03,2014-03-05,254.65,255.9,255.4740583,1.25,0.721687836,,,,    output_size = 1,
2014-03-04,2014-03-06,254.65,256.4,255.9098338,1.75,0.901387819,,,,,
2014-03-05,2014-03-07,255.9,256,255.9699902,0.100000001,0.264575131,,,,"    rnn_mode = ""basic""",
2014-03-06,2014-03-08,256.4,252.5500001,256.2391532,3.849999905,0.264575131,,,,    norm_days = 0,
2014-03-07,2014-03-09,256,253.7,257.2583088,-2.299999952,0.264575131,,,,    conversion = 'diff',
2014-03-10,2014-03-12,252.55,249.55,255.3554307,-3,2.142623003,,,,,
2014-03-11,2014-03-13,253.7,251.15,254.7711479,-2.549999952,2.093044035,,,,    iter_steps_max = 1000,
2014-03-12,2014-03-14,249.55,248.15,249.5907621,-1.399999976,1.5011107,,,,    iter_steps = 100,
2014-03-13,2014-03-15,251.15,249.4,249.5665041,1.75,1.5011107,,,,    gradual_steps = 1000,
2014-03-14,2014-03-16,248.15,250.9,248.6189618,2.75,1.5011107,,,,,
2014-03-17,2014-03-19,249.4,251,249.3517578,-1.600000024,0.896288644,,,,    alpha = 0,
2014-03-18,2014-03-20,250.9,247.7499999,252.2410941,-3.150000095,1.84819732,,,,    beta = 0,
2014-03-19,2014-03-21,251,250.05,252.9243006,-0.949999988,1.671077497,,,,,
2014-03-20,2014-03-22,247.75,251.3,249.8060992,3.549999952,1.671077497,,,,    model_reset = True,
2014-03-21,2014-03-23,250.05,251.05,249.7313016,-1,1.671077497,,,,    shuffle = True,
2014-03-24,2014-03-26,251.3,254.6,251.0942691,-3.299999952,1.981371579,,,,,
2014-03-25,2014-03-27,251.05,255.6499999,252.2238632,4.599999905,2.410567015,,,,"    train_start1 = ""2000-01-03""",
2014-03-26,2014-03-28,254.6,255.9,253.7817359,-1.299999952,0.689806736,,,,"    train_end1 = ""2015-12-31""",
2015-12-30,2016-01-01,240.15,240.15,238.7892803,0,0,,,,,
2015-12-31,2016-01-02,240.15,234.7000002,237.142846,5.449999809,0,,,,"    train_start2 = ""2000-01-03""",
2016-01-01,2016-01-03,240.15,236.0999998,237.040316,4.050000191,0,,,,"    train_end2 = ""2017-12-31""",
2016-01-04,2016-01-06,234.7,235.15,234.0539158,-0.449999988,0.714726055,,,,,
2016-01-05,2016-01-07,236.1,232.1999999,235.9125666,3.900000095,2.033674835,,,,"    test_start = ""2018-01-01""",
2016-01-06,2016-01-08,235.15,233.5,235.1657612,-1.649999976,1.478456402,,,,"    test_end = ""2019-01-01""",
2016-01-07,2016-01-09,232.2,231.45,233.1557005,-0.75,1.478456402,,,,,
