date_base,date_pred,iiindex_today,iindex_real,index_pred_0,loss_profits_0,std,,
2017-10-02,2018-01-01,315.4,326.7500004,310.4739012,-11.35000038,5.893057084,,# version_name
2017-10-03,2018-01-02,315.4,327.5999998,309.0009407,-12.19999981,5.727203773,,"ver = ""totnorm_65days"""
2017-10-04,2018-01-03,315.4,328.7999996,310.376481,-13.39999962,5.554409041,,
2017-10-05,2018-01-04,315.4,326.0999998,310.4755973,-10.69999981,5.365657056,,#data file directorty
2017-10-06,2018-01-05,315.4,330.0499996,312.1417483,-14.64999962,5.174155787,,"read_dir = """""
2017-10-09,2018-01-08,315.4,332.3500008,313.5148212,-16.95000076,4.991145832,,
2017-10-10,2018-01-09,321.25,331.5500002,308.8726702,-10.30000019,4.776569172,,#data file name
2017-10-11,2018-01-10,324.35,328.9499999,313.5567299,-4.599999905,4.707282708,,"file_name = ""../fnguide data/kospi200f_totnorm_0304.csv"""
2017-10-12,2018-01-11,326.75,327.6,309.3683949,-0.850000024,4.686188915,,"market = ""kospi200f"""
2017-10-13,2018-01-12,326.4,327.95,311.0564274,-1.549999952,4.683666319,,
2017-10-16,2018-01-15,326.6,328.4,321.4033137,-1.799999952,4.679628332,,#temporary file name
2017-10-17,2018-01-16,326.9,331.5999998,319.7515506,-4.699999809,4.696570998,,"tmp_file_name = ""tmp.csv"""
2017-10-18,2018-01-17,326.95,330.2999999,319.7323634,-3.349999905,4.701790873,,
2017-10-19,2018-01-18,325.2,330.5000002,308.8229801,-5.300000191,4.708074203,,#model directory
2017-10-20,2018-01-19,327.35,330.6999999,314.7293259,-3.349999905,4.7026385,,"model_dir = ""model_dir/"" + ver"
2017-10-23,2018-01-22,328.15,327.35,318.3193583,0.800000012,4.7026385,,
2017-10-24,2018-01-23,327.65,332.3499998,313.8325705,-4.699999809,4.729004143,,#result file directory
2017-10-25,2018-01-24,327.85,332.6999999,317.6577955,-4.849999905,4.758144104,,"result_dir = ""results_"" + ver"
2017-10-26,2018-01-25,324.85,335.4000002,308.5923286,-10.55000019,4.834037727,,
2017-10-27,2018-01-26,327.95,337.0500004,316.4841463,-9.100000381,4.922876999,,#log file name
2017-10-30,2018-01-29,328.55,339.6000002,315.2257822,-11.05000019,5.100031823,,"log_dir = ""log/"" + ver + "".log"""
2017-10-31,2018-01-30,332.15,334.9999999,315.6386227,-2.849999905,5.15453678,,
2017-11-01,2018-01-31,337.65,335.5500001,315.9301495,2.099999905,5.203186221,,# the number of threads
2017-11-02,2018-02-01,336.15,334.75,317.9562096,1.399999976,5.141400361,,num_threads = 4
2017-11-03,2018-02-02,337.45,328.5000002,323.4687988,8.949999809,5.06372083,,
2017-11-06,2018-02-05,335.25,324.1000004,323.5358734,11.14999962,4.982892879,,class Config(object):
2017-11-07,2018-02-06,334.85,318.7499996,315.0007149,16.10000038,5.062341194,,
2017-11-08,2018-02-07,336.35,310.6,319.6149536,25.75,5.455244317,,    ensemble = False
2017-11-09,2018-02-08,334.75,313.6000004,317.2854576,21.14999962,5.640233013,,    gradual = True
2017-11-10,2018-02-09,334,304.9500008,315.9283257,29.04999924,6.231775481,,
2017-11-13,2018-02-12,332.65,309.1999992,317.5598873,23.45000076,6.559609759,,    init_scale = 0.05
