month,year,시가,loss_profits_0,누적손익,고점대비하락폭,leverage,invest rate,행 레이블,평균 : 시가,합계 : loss_profits_0,행 레이블,평균 : 시가,합계 : loss_profits_0,,년,지수평균,손익,누적,고점대비하락폭,,최대평가손,수익률
1,2007,201.9,0.600006104,1.004457698,0,7.5,0.2,2007,230.1318008,82.84988403,2007,230.1318008,82.84988403,,2007,230.1318008,82.84988403,1.540015876,0,,-16.75007629,-0.109177064
1,2007,202.35,1.050003052,1.01227596,0,1.050003052,,1,194.723913,5.299987793,1,194.723913,5.299987793,5.299987793,2008,205.4921756,50.45000458,2.107145557,0,,-12.14994812,-0.08868913
1,2007,202.2,0.699996948,1.017532563,0,1.75,,2,200.35,4.899978638,2,200.35,4.899978638,10.19996643,2009,193.46341,12.15011597,2.305648697,0,,-25.39986877,-0.196935447
1,2007,198.35,-0.150009155,1.016378246,0.001134428,1.599990845,,3,198.125,-12.45002747,3,198.125,-12.45002747,-2.250061035,2010,239.6787356,0.199874878,2.308532816,0,,-12.65010071,-0.079169105
1,2007,196,-0.199996948,1.014822589,0.00266328,1.399993896,,4,208.3761905,-3.400024414,4,208.3761905,-3.400024414,-5.650085449,2011,267.5926923,9.400115967,2.430175578,0,,-2.799987793,-0.015695427
1,2007,193.35,0.699996948,1.020333626,0,2.099990845,,5,218.6869565,-6.649978638,5,218.6869565,-6.649978638,-12.30006409,2012,258.058046,-38.20014954,1.890569827,0.222043936,,-39.50001526,-0.229599595
1,2007,193.3,0.949996948,1.027855462,0,3.049987793,,6,233.7666667,7.149978638,6,233.7666667,7.149978638,-5.150085449,2013,255.4212644,33.19995117,2.259177504,0.070364494,,0.64994812,0.003816919
1,2007,192.45,-0.399993896,1.024650973,0.003117645,2.649993896,,7,252.3227273,-11.59999084,7,252.3227273,-11.59999084,-16.75007629,2014,253.2586207,-21.85003662,1.9668097,0.19067177,,-30.00003052,-0.177684162
1,2007,190.4,0.449996948,1.028283508,0,3.099990845,,8,239.7891304,42.69996643,8,239.7891304,42.69996643,25.94989014,2015,244.0438697,16.95007324,2.171716927,0.1063539,,1.900009155,0.011678284
1,2007,193.2,1.699996948,1.041855549,0,4.799987793,,9,248.4725,8.499954224,9,248.4725,8.499954224,34.44984436,2016,245.2247126,23.85003662,2.488541816,0,,-4.10005188,-0.025079356
