date_base,date_pred,iiindex_base,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing_0,std
2006-12-29,2007-01-01,198.8,199.3999908,199.0407046,0.599990845,0.240704626,0
2007-01-01,2007-01-02,198.8,199.8500031,198.6452687,-1.050003052,-0.154731348,0.141421356
2007-01-02,2007-01-03,199,199.6999969,199.0235185,0.699996948,0.023518544,2.121320344
2007-01-03,2007-01-04,196,195.8500061,196.4823636,-0.149993896,0.482363552,1.626345597
2007-01-04,2007-01-05,193.7,193.5000031,193.8408419,-0.199996948,0.140841946,1.52027958
2007-01-05,2007-01-08,191.55,190.8500031,191.5688288,-0.699996948,0.018828772,1.202081528
2007-01-08,2007-01-09,189.85,190.7999969,190.286343,0.949996948,0.436343044,0.353553391
2007-01-09,2007-01-10,190.35,189.9499908,190.8003759,-0.400009155,0.450375915,2.050609665
2007-01-10,2007-01-11,187.45,187.8999969,187.6507043,0.449996948,0.200704306,1.096015511
2007-01-11,2007-01-12,189,190.6999969,189.4118154,1.699996948,0.411815435,2.121320344
2007-01-12,2007-01-15,192,192.6999969,192.8139771,0.699996948,0.813977063,0.353553391
2007-01-15,2007-01-16,192.5,193,193.0378355,0.5,0.537835479,0.247487373
2007-01-16,2007-01-17,192.85,192.2499939,193.4290337,-0.600006104,0.579033732,1.202081528
2007-01-17,2007-01-18,191.15,190.5500092,191.4412843,-0.599990845,0.291284263,0.74246212
2007-01-18,2007-01-19,192.2,190.3500092,192.4893995,-1.849990845,0.289399505,3.00520382
2007-01-19,2007-01-22,187.95,188.8999969,188.2322147,0.949996948,0.282214731,1.096015511
2007-01-22,2007-01-23,189.5,188.4499969,190.1356041,-1.050003052,0.635604143,0.141421356
2007-01-23,2007-01-24,189.3,190.3500031,189.6319554,1.050003052,0.331955433,2.368807717
2007-01-24,2007-01-25,192.65,193.2000031,192.2805783,-0.550003052,-0.369421661,0.035355339
2007-01-25,2007-01-26,192.6,191.4999939,192.7799511,-1.100006104,0.179951146,1.803122292
2007-01-26,2007-01-29,190.05,190.8999908,190.3245126,0.849990845,0.274512589,0.318198052
2007-01-29,2007-01-30,189.6,189.4499908,190.6797026,-0.150009155,1.079702616,0.707106781
2007-01-30,2007-01-31,190.6,191.0499969,190.3742383,-0.449996948,-0.225761697,1.060660172
2007-01-31,2007-02-01,189.1,189.7999969,189.2514509,0.699996948,0.151450947,2.085965005
2007-02-01,2007-02-02,192.05,192.4999969,191.7514494,-0.449996948,-0.298550636,2.439518395
2007-02-02,2007-02-05,195.5,195.8500061,195.4588551,-0.350006104,-0.041144855,0.636396103
2007-02-05,2007-02-06,196.4,196.7500061,196.4607384,0.350006104,0.060738385,0.848528137
