date_base,date_pred,iiindex_base,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing_0,std
2019-07-31,2019-08-01,266.85,264.7499938964844,266.12205431461337,2.100006103515625,-0.7279456853866577,0.45961940777128
2019-08-01,2019-08-02,266.2,262.99998779296874,264.583336186409,3.20001220703125,-1.6166638135910034,2.156675682618978
2019-08-02,2019-08-05,263.15,261.4,262.98263601362703,1.75,-0.1673639863729477,4.384062043356586
2019-08-05,2019-08-06,256.95,251.09999389648436,256.7571445673704,5.850006103515625,-0.19285543262958527,2.3334523779155947
2019-08-06,2019-08-07,253.65,253.60001220703126,254.6768430709839,-0.04998779296875,1.0268430709838867,0.4596194077712599
2019-08-07,2019-08-08,253.0,254.5,254.68100941181183,1.5,1.6810094118118286,0.42426406871192446
2019-08-08,2019-08-09,253.6,254.99999389648437,254.39509872198104,1.399993896484375,0.7950987219810486,1.1667261889578076
2019-08-09,2019-08-12,255.25,255.35000610351562,255.23601781390607,-0.100006103515625,-0.01398218609392643,0.14142135623730148
2019-08-12,2019-08-13,255.45,253.60000915527343,253.68352074623107,1.8499908447265625,-1.766479253768921,2.4041630560342457
2019-08-13,2019-08-14,252.05,255.60000305175782,252.57796924114228,3.5500030517578125,0.527969241142273,2.2273863607376088
2019-08-14,2019-08-15,255.2,255.60000915527343,252.63557000160216,-0.4000091552734375,-2.564429998397827,0.0
2019-08-15,2019-08-16,255.2,252.64999694824218,252.84599990844725,2.5500030517578125,-2.3540000915527344,0.8131727983645135
2019-08-16,2019-08-19,254.05,255.39999084472657,254.17656719982625,1.3499908447265625,0.12656719982624054,1.2020815280171229
2019-08-19,2019-08-20,255.75,255.0,256.7816764116287,-0.75,1.0316764116287231,1.590990257669732
2019-08-20,2019-08-21,258.0,257.29998779296875,257.1259337067604,0.70001220703125,-0.8740662932395935,0.28284271247460296
2019-08-21,2019-08-22,258.4,258.6000122070312,259.3153404831886,0.20001220703125,0.9153404831886292,1.4142135623730951
2019-08-22,2019-08-23,256.4,255.14999999999998,256.28482345640657,1.25,-0.11517654359340668,0.03535533905929522
2019-08-23,2019-08-26,256.35,251.4999938964844,254.8532070875168,4.850006103515625,-1.4967929124832153,2.6516504294495733
2019-08-26,2019-08-27,252.6,253.19999084472656,252.5743948727846,-0.5999908447265625,-0.025605127215385437,0.9899494936611705
2019-08-27,2019-08-28,254.0,254.60000610351562,253.35551184415817,-0.600006103515625,-0.6444881558418274,1.308147545195109
2019-08-28,2019-08-29,255.85,255.79999694824218,256.76831183433535,-0.0500030517578125,0.9183118343353271,1.1667261889578076
2019-08-29,2019-08-30,254.2,256.20001525878905,255.6384593963623,2.0000152587890625,1.4384593963623047,3.500178566873402
2019-08-30,2019-09-02,259.15,258.1000122070312,259.0655600145459,1.04998779296875,-0.08443998545408249,0.14142135623734164
2019-09-02,2019-09-03,259.35,258.1499877929688,258.81348834037783,1.20001220703125,-0.5365116596221924,0.9899494936611907
2019-09-03,2019-09-04,257.95,257.84999389648436,257.61518545150756,0.100006103515625,-0.33481454849243164,2.7930717856868545
2019-09-04,2019-09-05,261.9,262.29999389648435,261.5847942769527,-0.399993896484375,-0.31520572304725647,1.979898987322341
2019-09-05,2019-09-06,264.7,265.7999755859375,265.11826367378234,1.0999755859375,0.41826367378234863,0.7424621202458829
2019-09-06,2019-09-09,265.75,266.29998779296875,265.65656580775976,-0.54998779296875,-0.09343419224023819,1.3435028842544243
2019-09-09,2019-09-10,267.65,267.8500122070312,267.76029481142757,0.20001220703125,0.11029481142759323,0.8131727983645538
2019-09-10,2019-09-11,268.8,,268.9806245148182,,0.18062451481819153,
accuracy, down accuracy, acc with interval
0.6666666666666666,0.75,0.5333333333333333
 ensemble, gradual, RRL, kelly, time steps, interval, layers, hidden_size, batch_size, iteration
False,True-260,True-0.5,False-0.05,20,1,2,500,20,500-300
 avg_profit, avg_loss,  avg_index, max_profit, max_loss, kelly
1.8875022888183595,-0.3888871934678819,258.2466666666666,5.850006103515625,-0.75,397.1040814468776
