date_base,date_pred,iiindex_base,iindex_real,index_pred_0,loss_profits_0,asset_rebalancing_0,std
2018-12-31,2019-01-01,263.25,262.9500122,264.0247694,-0.299987793,0.774769366,0
2019-01-01,2019-01-02,263.25,265.5499878,263.9660619,2.299987793,0.71606189,2.227386361
2019-01-02,2019-01-03,260.1,260.1,261.6870885,0,1.587088466,1.590990258
2019-01-03,2019-01-04,257.85,257.7499939,258.38652,-0.100006104,0.536520004,1.590990258
2019-01-04,2019-01-07,260.1,263.2499939,261.6141102,3.149993896,1.514110208,2.793071786
2019-01-07,2019-01-08,264.05,263.6500061,265.2724125,-0.399993896,1.222412467,1.449568901
2019-01-08,2019-01-09,262,262.5499878,262.5547186,0.549987793,0.554718554,3.74766594
2019-01-09,2019-01-10,267.3,267.4500244,266.6786122,-0.150024414,-0.62138778,0.176776695
2019-01-10,2019-01-11,267.05,268.6500061,267.3951518,1.600006104,0.345151812,1.52027958
2019-01-11,2019-01-14,269.2,268.2,269.5651502,-1,0.365150183,1.803122292
2019-01-14,2019-01-15,266.65,267.8500122,267.2442774,1.200012207,0.594277382,3.853731957
2019-01-15,2019-01-16,272.1,271.4999939,271.3810091,0.600006104,-0.718990862,0.883883476
2019-01-16,2019-01-17,273.35,273.7000061,273.6065083,0.350006104,0.256508291,0.176776695
2019-01-17,2019-01-18,273.6,275.1499878,274.1498679,1.549987793,0.549867868,1.697056275
2019-01-18,2019-01-21,276,277.75,276.5479409,1.75,0.54794085,0.035355339
2019-01-21,2019-01-22,276.05,276.1500061,276.044172,-0.100006104,-0.005828022,1.202081528
2019-01-22,2019-01-23,274.35,273.2499939,274.0106753,1.100006104,-0.339324713,1.202081528
2019-01-23,2019-01-24,276.05,276.05,276.2401202,0,0.190120235,1.626345597
2019-01-24,2019-01-25,278.35,279.1499878,278.3410664,-0.799987793,-0.008933564,3.74766594
2019-01-25,2019-01-28,283.65,283.7000183,283.7140739,0.050018311,0.064073861,0.176776695
2019-01-28,2019-01-29,283.4,282.9,282.9383113,0.5,-0.461688727,0.989949494
2019-01-29,2019-01-30,284.8,284.8500183,284.2011169,-0.050018311,-0.598883092,2.863782464
2019-01-30,2019-01-31,288.85,291.2499939,289.128198,2.399993896,0.278198034,0.459619408
2019-01-31,2019-02-01,288.2,289.0499756,288.8468338,0.849975586,0.646833777,0.459619408
2019-02-01,2019-02-04,287.55,289.05,288.045158,1.5,0.495158046,0
2019-02-04,2019-02-05,287.55,289.05,288.3781956,1.5,0.828195632,0
2019-02-05,2019-02-06,287.55,289.05,288.4073745,1.5,0.857374549,0
2019-02-06,2019-02-07,287.55,289.3,287.5942592,1.75,0.044259202,0.212132034
2019-02-07,2019-02-08,287.25,285.75,286.2534651,1.5,-0.996534944,2.899137803
2019-02-08,2019-02-11,283.15,283.4500183,283.3802245,0.300018311,0.230224475,0.530330086
2019-02-11,2019-02-12,283.9,283.65,283.7938214,0.25,-0.106178552,1.166726189
2019-02-12,2019-02-13,285.55,286.6500061,285.9207246,1.100006104,0.370724648,0.989949494
2019-02-13,2019-02-14,286.95,285.7,286.7737633,1.25,-0.176236734,1.87383297
2019-02-14,2019-02-15,289.6,288.0499817,288.4784739,1.550018311,-1.121526122,2.969848481
2019-02-15,2019-02-18,285.4,287.2500061,286.1959898,1.850006104,0.795989752,1.838477631
2019-02-18,2019-02-19,288,287.2999878,287.9903743,0.700012207,-0.00962575,0.777817459
2019-02-19,2019-02-20,286.9,288.2999939,287.0225144,1.399993896,0.122514442,1.944543648
2019-02-20,2019-02-21,289.65,288.7500061,289.5710096,0.899993896,-0.078990385,0.141421356
2019-02-21,2019-02-22,289.85,289.4999939,289.7292389,0.350006104,-0.120761141,0.106066017
2019-02-22,2019-02-25,290,291.5499878,289.7861068,-1.549987793,-0.213893175,0.565685425
2019-02-25,2019-02-26,290.8,290.1500061,291.1788178,-0.649993896,0.378817827,1.272792206
2019-02-26,2019-02-27,289,290.5499878,289.0777054,1.549987793,0.077705368,0.494974747
2019-02-27,2019-02-28,289.7,289.7999756,290.0871928,0.099975586,0.387192816,3.252691193
2019-02-28,2019-03-01,285.1,289.7999817,285.5593596,4.699981689,0.459359586,0
2019-03-01,2019-03-04,285.1,287.35,286.0197982,2.25,0.919798195,0.883883476
2019-03-04,2019-03-05,283.85,282.7499939,285.0413047,-1.100006104,1.191304684,1.343502884
2019-03-05,2019-03-06,281.95,281.8499939,283.6194716,-0.100006104,1.669471622,0.141421356
2019-03-06,2019-03-07,281.75,281,281.9352241,-0.75,0.185224116,1.13137085
2019-03-07,2019-03-08,280.15,278.6000122,278.8038785,1.549987793,-1.34612155,2.722361108
2019-03-08,2019-03-11,276.3,276.6500061,276.6802109,0.350006104,0.380210876,0.141421356
2019-03-11,2019-03-12,276.5,278.4500122,278.4136193,1.950012207,1.91361928,1.944543648
2019-03-12,2019-03-13,279.25,278.2999878,279.1245047,0.950012207,-0.125495329,1.626345597
2019-03-13,2019-03-14,276.95,277.95,277.9471505,1,0.997150481,0.530330086
2019-03-14,2019-03-15,277.7,276.8999817,278.3547654,-0.800018311,0.654765368,2.156675683
2019-03-15,2019-03-18,280.75,281.3500061,281.5305489,0.600006104,0.78054893,0
2019-03-18,2019-03-19,280.75,280.8999939,281.7468167,0.149993896,0.996816695,0.141421356
2019-03-19,2019-03-20,280.55,280.0000122,281.8093559,-0.549987793,1.259355903,0.247487373
2019-03-20,2019-03-21,280.9,281.65,280.2906901,-0.75,-0.609309852,1.343502884
2019-03-21,2019-03-22,282.8,284.2000244,283.7827258,1.400024414,0.982725799,0.38890873
2019-03-22,2019-03-25,283.35,279.2999817,279.1882912,4.050018311,-4.161708832,3.924442636
2019-03-25,2019-03-26,277.8,278.8,278.3714933,1,0.571493328,0.141421356
2019-03-26,2019-03-27,278,277,279.3039947,-1,1.303994656,0
2019-03-27,2019-03-28,278,275.9500122,278.0153211,-2.049987793,0.015321111,1.13137085
2019-03-28,2019-03-29,276.4,276.6000122,276.9904716,0.200012207,0.590471566,0.565685425
2019-03-29,2019-04-01,277.2,279.3999817,278.4389168,2.199981689,1.238916755,3.00520382
2019-04-01,2019-04-02,281.45,282.2,282.2073687,0.75,0.757368743,0.74246212
2019-04-02,2019-04-03,282.5,282.9500122,283.127865,0.450012207,0.627865016,3.075914498
2019-04-03,2019-04-04,286.85,286.6499878,286.878517,-0.200012207,0.028516989,0.318198052
2019-04-04,2019-04-05,287.3,287.5000122,287.4947601,0.200012207,0.194760069,0.494974747
2019-04-05,2019-04-08,288,289,288.1911039,1,0.191103861,0.530330086
2019-04-08,2019-04-09,287.25,287.6000061,287.2630593,0.350006104,0.013059303,0.353553391
2019-04-09,2019-04-10,287.75,286.6499939,287.5090116,1.100006104,-0.240988359,1.025304833
2019-04-10,2019-04-11,289.2,289.4999878,289.0479519,-0.299987793,-0.152048126,0.636396103
2019-04-11,2019-04-12,288.3,287.9000061,288.0599323,0.399993896,-0.240067661,0.813172798
2019-04-12,2019-04-15,289.45,290.0499756,289.8171498,0.599975586,0.36714977,0.919238816
2019-04-15,2019-04-16,290.75,290.1499939,290.1511028,0.600006104,-0.598897159,0.636396103
2019-04-16,2019-04-17,291.65,291.65,291.3103665,0,-0.339633495,0.070710678
2019-04-17,2019-04-18,291.55,291.7500122,291.3748818,-0.200012207,-0.175118208,3.570889245
2019-04-18,2019-04-19,286.5,287.75,286.5224888,1.25,0.022488829,0.035355339
2019-04-19,2019-04-22,286.55,287.1000183,286.9093401,0.550018311,0.359340131,0.035355339
2019-04-22,2019-04-23,286.5,286.8500061,286.2737515,-0.350006104,-0.226248547,0.353553391
2019-04-23,2019-04-24,287,288.4500122,287.2093329,1.450012207,0.209332854,1.944543648
2019-04-24,2019-04-25,284.25,283.5,284.1971538,0.75,-0.052846186,0.707106781
2019-04-25,2019-04-26,283.25,282.2000122,283.5335622,-1.049987793,0.283562183,1.060660172
2019-04-26,2019-04-29,281.75,282.4500122,282.0962275,0.700012207,0.346227527,4.171930009
2019-04-29,2019-04-30,287.65,287.15,287.4458152,0.5,-0.20418483,1.590990258
2019-04-30,2019-05-01,285.4,287.15,286.0911063,1.75,0.69110626,0
2019-05-01,2019-05-02,285.4,284.0000061,285.1516911,1.399993896,-0.248308927,1.025304833
2019-05-02,2019-05-03,286.85,286.6,285.90502,0.25,-0.944980025,2.050609665
2019-05-03,2019-05-06,283.95,286.5999939,285.1377862,2.649993896,1.187786222,0
2019-05-06,2019-05-07,283.95,280.9999878,284.1708351,-2.950012207,0.220835105,1.52027958
2019-05-07,2019-05-08,281.8,278.05,279.6524787,3.75,-2.147521257,1.166726189
2019-05-08,2019-05-09,280.15,279.2000183,279.55803,0.949981689,-0.591969967,5.586143571
2019-05-09,2019-05-10,272.25,272.2000122,273.3858595,-0.049987793,1.135859489,0.212132034
2019-05-10,2019-05-13,271.95,269.5499756,271.6316998,2.400024414,-0.318300158,2.050609665
2019-05-13,2019-05-14,269.05,266.0000122,266.5402053,3.049987793,-2.509794712,0.282842712
2019-05-14,2019-05-15,268.65,268.8500122,268.9817044,0.200012207,0.331704438,1.096015511
2019-05-15,2019-05-16,270.2,269.4999878,269.8771642,0.700012207,-0.322835833,2.722361108
2019-05-16,2019-05-17,266.35,267.9500061,268.0287351,1.600006104,1.678735137,1.096015511
2019-05-17,2019-05-20,264.8,266.1000183,264.7093226,-1.300018311,-0.090677351,0.353553391
2019-05-20,2019-05-21,265.3,264.7000244,264.1003181,0.599975586,-1.199681878,0.954594155
2019-05-21,2019-05-22,266.65,267.4,267.1103525,0.75,0.46035251,0.38890873
2019-05-22,2019-05-23,267.2,266.7499878,265.9687639,0.450012207,-1.2312361,0.74246212
2019-05-23,2019-05-24,266.15,265.4500183,264.779104,0.699981689,-1.370895982,0.848528137
2019-05-24,2019-05-27,264.95,264.3499939,265.0320871,-0.600006104,0.082087129,0.318198052
2019-05-27,2019-05-28,264.5,264.5,265.1049485,0,0.604948521,0.282842712
2019-05-28,2019-05-29,264.9,264.0000061,264.6610463,0.899993896,-0.238953695,2.687005769
2019-05-29,2019-05-30,261.1,262.2000061,260.3212263,-1.100006104,-0.778773725,2.2627417
2019-05-30,2019-05-31,264.3,263.0000122,263.5045626,1.299987793,-0.795437396,0.565685425
2019-05-31,2019-06-03,263.5,262.9500122,261.9941499,0.549987793,-1.505850077,3.217335854
2019-06-03,2019-06-04,268.05,267.8,266.4775998,0.25,-1.572400212,0.707106781
2019-06-04,2019-06-05,267.05,269.55,268.9272937,2.5,1.877293706,0.636396103
2019-06-05,2019-06-06,267.95,269.5499756,268.3767569,1.599975586,0.426756859,0
2019-06-06,2019-06-07,267.95,267.7499878,268.4995629,-0.200012207,0.549562931,0.247487373
2019-06-07,2019-06-10,267.6,269.7000061,268.0319592,2.100006104,0.431959182,2.899137803
2019-06-10,2019-06-11,271.7,271.2499878,271.1152317,0.450012207,-0.584768295,1.025304833
2019-06-11,2019-06-12,273.15,273.2500061,273.629121,0.100006104,0.479121,0.707106781
2019-06-12,2019-06-13,272.15,269.3500122,271.7069878,2.799987793,-0.443012238,1.803122292
2019-06-13,2019-06-14,269.6,270.0499817,269.7720108,0.449981689,0.172010809,0.247487373
2019-06-14,2019-06-17,269.95,269.7,270.4271294,-0.25,0.47712943,0.212132034
2019-06-17,2019-06-18,270.25,269.5499878,270.0613108,0.700012207,-0.188689217,0.989949494
2019-06-18,2019-06-19,271.65,274.7000183,272.5701272,3.050018311,0.920127153,2.2627417
2019-06-19,2019-06-20,274.85,275.2999817,274.5362832,-0.449981689,-0.313716799,0.883883476
2019-06-20,2019-06-21,276.1,276.1499878,275.4429248,-0.049987793,-0.657075226,0.282842712
2019-06-21,2019-06-24,275.7,276.0499756,275.7960803,0.349975586,0.096080318,0
2019-06-24,2019-06-25,275.7,275.45,275.2829063,0.25,-0.417093664,0.459619408
2019-06-25,2019-06-26,275.05,274.9000061,273.944533,0.149993896,-1.105466962,0.494974747
2019-06-26,2019-06-27,275.75,276.5,275.8671858,0.75,0.117185771,2.439518395
2019-06-27,2019-06-28,279.2,278.8499939,278.7548708,0.350006104,-0.445129216,0.565685425
2019-06-28,2019-07-01,278.4,280.8500122,277.7725491,-2.450012207,-0.627450883,0.212132034
2019-07-01,2019-07-02,278.1,276.1,278.8228697,-2,0.722869694,0.777817459
2019-07-02,2019-07-03,277,276.5,277.4407212,-0.5,0.440721154,2.828427125
2019-07-03,2019-07-04,273,273.3999939,274.0283968,0.399993896,1.028396845,1.803122292
2019-07-04,2019-07-05,275.55,275.3500183,276.0069297,-0.199981689,0.456929654,0.494974747
2019-07-05,2019-07-08,274.85,272.7000061,274.9035288,-2.149993896,0.053528849,3.995153314
2019-07-08,2019-07-09,269.2,269.9999878,269.627134,0.799987793,0.427133977,0.848528137
2019-07-09,2019-07-10,268,270.1499939,268.6918469,2.149993896,0.691846907,1.166726189
2019-07-10,2019-07-11,269.65,270.8500122,269.7939881,1.200012207,0.143988058,2.368807717
2019-07-11,2019-07-12,273,272.9500122,272.8594623,0.049987793,-0.140537664,0.318198052
2019-07-12,2019-07-15,273.45,272.7,274.0253592,-0.75,0.575359225,0.035355339
2019-07-15,2019-07-16,273.5,273.5,273.6669274,0,0.166927353,0.848528137
2019-07-16,2019-07-17,274.7,273.3499939,275.0369434,-1.350006104,0.336943358,2.015254326
2019-07-17,2019-07-18,271.85,271.2499939,272.4252535,-0.600006104,0.575253546,0.530330086
2019-07-18,2019-07-19,271.1,272.9500061,271.6049508,1.850006104,0.504950821,2.863782464
2019-07-19,2019-07-22,275.15,274.2500061,274.2333986,0.899993896,-0.916601419,0
2019-07-22,2019-07-23,275.15,275.65,275.2296594,0.5,0.079659387,0.919238816
2019-07-23,2019-07-24,276.45,275.9999878,277.1823079,-0.450012207,0.732307851,1.697056275
2019-07-24,2019-07-25,274.05,275.0000122,275.0857932,0.950012207,1.035793185,0.176776695
2019-07-25,2019-07-26,273.8,271.9000061,273.3156422,1.899993896,-0.484357834,0.883883476
2019-07-26,2019-07-29,272.55,272.1000183,274.0088721,-0.449981689,1.45887208,2.934493142
2019-07-29,2019-07-30,268.4,269.0499939,270.7410859,0.649993896,2.341085911,0.707106781
2019-07-30,2019-07-31,269.4,268.9,268.6178361,0.5,-0.782163858,1.803122292
2019-07-31,2019-08-01,266.85,264.7499939,266.2654533,2.100006104,-0.584546745,0.459619408
2019-08-01,2019-08-02,266.2,262.9999878,263.9368743,3.200012207,-2.263125658,2.156675683
2019-08-02,2019-08-05,263.15,261.4,263.6349926,-1.75,0.484992564,4.384062043
2019-08-05,2019-08-06,256.95,251.0999939,256.5281839,5.850006104,-0.421816111,2.333452378
2019-08-06,2019-08-07,253.65,253.6000122,255.1251782,-0.049987793,1.475178242,0.459619408
2019-08-07,2019-08-08,253,254.5,254.0654569,1.5,1.065456867,0.424264069
2019-08-08,2019-08-09,253.6,254.9999939,255.1429342,1.399993896,1.542934179,1.166726189
2019-08-09,2019-08-12,255.25,255.3500061,255.5548774,0.100006104,0.304877371,0.141421356
2019-08-12,2019-08-13,255.45,253.6000092,252.7445092,1.849990845,-2.705490828,2.404163056
2019-08-13,2019-08-14,252.05,255.6000031,253.2189591,3.550003052,1.168959141,2.227386361
2019-08-14,2019-08-15,255.2,255.6000092,251.795716,-0.400009155,-3.404284,0
2019-08-15,2019-08-16,255.2,252.6499969,253.069333,2.550003052,-2.130666971,0.813172798
2019-08-16,2019-08-19,254.05,255.3999908,255.3220332,1.349990845,1.272033215,1.202081528
2019-08-19,2019-08-20,255.75,255,257.0631431,-0.75,1.313143134,1.590990258
2019-08-20,2019-08-21,258,257.2999878,255.9557233,0.700012207,-2.044276714,0.282842712
2019-08-21,2019-08-22,258.4,258.6000122,259.4898522,0.200012207,1.089852214,1.414213562
2019-08-22,2019-08-23,256.4,255.15,256.6276168,-1.25,0.227616757,0.035355339
2019-08-23,2019-08-26,256.35,251.4999939,252.4804166,4.850006104,-3.869583368,2.651650429
2019-08-26,2019-08-27,252.6,253.1999908,253.0767388,0.599990845,0.476738751,0.989949494
2019-08-27,2019-08-28,254,254.6000061,253.3731032,-0.600006104,-0.626896799,1.308147545
2019-08-28,2019-08-29,255.85,255.7999969,257.3910184,-0.050003052,1.541018367,1.166726189
2019-08-29,2019-08-30,254.2,256.2000153,256.8074612,2.000015259,2.607461214,3.500178567
2019-08-30,2019-09-02,259.15,258.1000122,258.9574073,1.049987793,-0.192592666,0.141421356
2019-09-02,2019-09-03,259.35,258.1499878,258.7570553,1.200012207,-0.592944682,0.989949494
2019-09-03,2019-09-04,257.95,257.8499939,256.9230524,0.100006104,-1.026947618,2.793071786
2019-09-04,2019-09-05,261.9,262.2999939,261.6874286,-0.399993896,-0.212571383,1.979898987
2019-09-05,2019-09-06,264.7,265.7999756,265.2502041,1.099975586,0.550204098,0.74246212
2019-09-06,2019-09-09,265.75,266.2999878,265.5484551,-0.549987793,-0.201544851,1.343502884
2019-09-09,2019-09-10,267.65,267.8500122,267.4353801,-0.200012207,-0.214619949,0.813172798
2019-09-10,2019-09-11,268.8,,269.0697332,,0.26973322,
accuracy, down accuracy, acc with interval,,,118.75,,
0.700564972,0.604651163,0.542372881,,,,,
 ensemble, gradual, RRL, kelly, time steps, interval, layers, hidden_size
FALSE,True-260,True-0.5,False-0.05,20,1,2,500
 avg_profit, avg_loss,  avg_index, max_profit, max_loss, kelly, batch_size, iteration
1.265322778,-0.733654316,274.2,5.850006104,-2.950012207,196.9443582,20,500-300
input size 943,,,,,,,
